sire,IV,A/E,PRB,PRB2
Ashmolean (USA),0,0,0.526,0.329
Freedom Cry (GB),1.291,0.569,0.56,0.407
Kambalda (GB),0,0,0.312,0.254
Itsu (USA),0,0,0.745,0.567
K-Battery (GB),0,0,0.278,0.12
Cupidon (FR),0,0,0.304,0.193
Wimbleball (GB),0,0,0.292,0.101
Governor General (GB),0,0,0.453,0.296
Caller I D (USA),0,0,0.476,0.314
Professional (IRE),3.874,7.361,0.717,0.574
You My Chief (GB),0,0,0,0
Peacock I (FR),1.788,1.407,0.326,0.256
Wakashan (GB),0,0,0.455,0.262
Gunboat Diplomacy (FR),0,0,0.325,0.117
Double Bed (FR),0.704,0.428,0.551,0.401
Gods Solution (GB),2.905,2.174,0.406,0.316
Loup Solitaire (USA),3.32,1.636,0.691,0.581
Indian River (FR),0,0,0.062,0.008
Northern Baby (CAN),1.453,0.833,0.767,0.606
Ore (IRE),0.342,0.31,0.429,0.272
Paris Opera (AUS),0,0,0,0
Lapierre (GB),2.324,1.283,0.502,0.396
Victory Dance I (IRE),0,0,0,0
Northern Crystal (GB),3.874,1.786,0.648,0.525
Honor Grades (USA),4.358,1.365,0.877,0.784
Dahar (USA),1.453,1.205,0.618,0.475
Lavirco (GER),1.291,0.782,0.45,0.346
Puget (USA),0,0,0.171,0.062
Pitchounet (FR),1.937,0.852,0.654,0.493
Westminster (NZ),0,0,0.153,0.034
Jendali (USA),0,0,0.352,0.211
King Among Kings (GB),0.528,0.709,0.486,0.321
Llandaff (USA),1.453,1.814,0.326,0.245
Tirley Gale (GB),0,0,0.348,0.199
Start Fast (FR),0.83,0.5,0.451,0.317
Le Nain Jaune (FR),0.775,0.596,0.257,0.173
Lyphard (USA),0,0,0.55,0.351
Miners Mark (USA),0,0,0.246,0.118
Barrys Gamble (GB),0,0,0.137,0.038
Forestry (USA),0,0,0.248,0.141
Artax (USA),0,0,0.476,0.243
El Gran Senor (USA),1.66,1.281,0.537,0.391
Quws (GB),0,0,0.458,0.309
Cotation (GB),0,0,0,0
Sugarfoot (GB),0,0,0.31,0.167
Woods Of Windsor (USA),0.179,0.21,0.365,0.232
Shantou (USA),11.621,4.5,1,1
Lit De Justice (USA),1.66,1.099,0.589,0.464
Faltaat (USA),2.324,1.317,0.343,0.289
Adnaan (IRE),0,0,0.727,0.529
Sendawar (IRE),0,0,0.504,0.31
Storm Boot (USA),0,0,0.43,0.294
J B Quick (GB),0,0,0.278,0.157
Yaheeb (USA),0,0,0.433,0.264
Protektor (GER),1.162,0.675,0.473,0.301
Marlin (USA),0,0,0.204,0.05
Myfontaine (GB),0,0,0.185,0.17
Tilden (IRE),5.811,9.512,0.667,0.556
Gentlemen (ARG),0,0,0.507,0.334
Half Iced (USA),7.748,5.235,0.842,0.81
King Persian (IRE),0.83,0.849,0.533,0.348
Favoured Nations (IRE),0,0,0.38,0.22
Regal Intention (CAN),0,0,0.441,0.21
Clearly Bust (GB),0.581,0.64,0.466,0.321
Helmsman (USA),0,0,0.386,0.245
Perfect Parade (USA),0,0,0.549,0.351
Top Of The World (GB),0,0,0.343,0.207
Heron Island (IRE),0,0,0.545,0.4
Solon (GER),0.894,1.001,0.533,0.374
Nucleon (USA),0,0,0.315,0.159
Bravefoot (GB),0.291,0.338,0.421,0.255
Fly So Free (USA),0,0,0.414,0.223
Vertical Speed (FR),0.83,0.985,0.403,0.281
Risen Star (USA),1.162,1.106,0.499,0.325
Zaizoom (USA),2.113,1.474,0.768,0.623
Viteric (FR),0,0,0.859,0.742
Meadowbrook (GB),0,0,0.326,0.184
Danzatore (CAN),0,0,0,0
Lithgie-Brig (GB),0,0,0.298,0.15
Pasternak (GB),0,0,0.514,0.309
Chocolat De Meguro (USA),0,0,0.094,0.027
Lagunas (GB),0.726,0.701,0.447,0.319
Supremo (USA),1.66,0.89,0.655,0.49
Running Stag (USA),0,0,0.417,0.181
Hennessy (USA),1.55,1.15,0.515,0.394
Clan Of Roses (GB),0,0,0.438,0.239
Shirley Heights (GB),1.291,1.024,0.494,0.376
Runnett (GB),0,0,0.232,0.093
Acteur Francais (USA),0,0,0.112,0.019
Capote (USA),1.056,0.825,0.388,0.244
Lure (USA),0.996,0.853,0.495,0.351
Marias Mon (USA),2.324,0.997,0.56,0.426
Tachyon Park (GB),0,0,0.243,0.104
Capolago (GB),0.704,1.14,0.394,0.227
Personal Flag (USA),0,0,0.613,0.454
Lights Out (FR),1.025,0.699,0.538,0.379
Flying Legend (USA),1.55,1.54,0.595,0.441
Mohaajir (USA),0.612,0.911,0.322,0.177
Secret Appeal (GB),0,0,0.077,0.006
Arctic Cider (USA),0.302,0.272,0.511,0.348
Captain Maverick (USA),0,0,0.444,0.198
Smart Strike (CAN),1.056,0.655,0.618,0.457
Silver Deputy (CAN),2.905,1.796,0.873,0.778
Twining (USA),1.937,0.998,0.696,0.56
Delta Dancer (GB),0,0,0.393,0.224
Denebola Way (GR),0,0,0.643,0.481
Tiger Ridge (USA),0,0,0.067,0.007
Langfuhr (CAN),3.32,2.156,0.613,0.48
Lemon Drop Kid (USA),1.585,1.326,0.638,0.486
Septieme Ciel (USA),1.291,1.217,0.42,0.275
Russian Red (GB),0,0,0.153,0.024
Beat All (USA),0,0,0.294,0.126
Meadowlake (USA),0,0,0,0
Mystery Storm (USA),2.905,1.599,0.772,0.616
Point Given (USA),0,0,0.422,0.268
Real Quiet (USA),2.905,5.332,0.514,0.382
Marquetry (USA),0,0,0.25,0.083
Not For Love (USA),0,0,0.592,0.367
Yankee Victor (USA),0,0,0.847,0.718
Mr Greeley (USA),0,0,0.522,0.393
Tharqaam (IRE),0,0,0,0
The Star Of Orion VII (GB),0,0,0.642,0.427
Sakti (NZ),0,0,0.585,0.417
Cache Of Gold (USA),0,0,0.429,0.286
Prairie (GB),0,0,0.695,0.517
Hadeer (GB),0,0,0.25,0.062
Samhoi (USA),0,0,0,0
Abednego (IRE),1.291,1.173,0.229,0.168
Baby Bid (USA),0,0,0.514,0.275
Shaddad (USA),0.83,0.951,0.438,0.283
Riverquest (FR),0,0,0.6,0.36
Forty Niner (USA),1.162,1.289,0.494,0.356
Brier Creek (USA),0,0,0.272,0.117
Samraan (USA),0,0,0.437,0.291
Humbel (USA),0,0,0.378,0.197
Lord Avie (USA),3.874,1.034,0.673,0.613
Deltic (USA),0,0,0.222,0.074
Runaway Groom (CAN),0,0,0.249,0.102
Housamix (FR),0,0,0.499,0.304
Mister Sicy (FR),0,0,0.383,0.279
Ardross (GB),1.162,0.799,0.432,0.316
Chilibang (GB),0,0,0.409,0.254
Houmayoun (FR),0.484,0.621,0.422,0.271
His Royal Highness (NZ),0,0,0.114,0.039
Arcane (USA),0,0,0.571,0.327
Equalize (USA),0,0,0.42,0.234
Rubicund (GB),0,0,0.143,0.02
Mansooj (GB),0,0,0,0
Little Wolf (GB),0,0,0.5,0.25
Crash Course (GB),0,0,0.5,0.25
Cardinal Flower (GB),1.66,1.813,0.562,0.386
Czaravich (USA),0,0,0.667,0.444
Bustomi (GB),0,0,0.223,0.073
River Special (USA),0,0,0.091,0.008
Catienus (USA),2.583,2.104,0.551,0.393
Manhal (GB),0.894,0.754,0.623,0.448
Mondrian (GER),0,0,0.516,0.367
Gorse (GB),0,0,0.086,0.011
Upper Heights (GER),0,0,0.372,0.178
Kadastrof (FR),0,0,0.273,0.108
Enjoy Plan (USA),0,0,0.514,0.415
In A Tiff (IRE),1.162,1.398,0.287,0.221
Jape (USA),1.835,0.804,0.562,0.417
Teresio (GB),0,0,0.76,0.588
Set Adrift (GB),0,0,0.258,0.113
Lir (GB),0,0,0.446,0.204
Valville (FR),1.162,0.802,0.53,0.379
Phantom Breeze (IRE),1.453,1.19,0.521,0.372
Le Thuit Signol (FR),0,0,0.188,0.07
Macanal (USA),1.66,1.396,0.458,0.327
Lord Of Men (GB),0,0,0.542,0.346
Kaldoun (FR),3.874,2.137,0.4,0.347
Halcon (GB),4.649,1.767,0.735,0.681
Rajpoute (FR),0,0,0.5,0.25
Abzu (GB),0.775,0.813,0.342,0.248
Vague Shot (GB),0,0,0.137,0.03
Sadlers Way (GB),0,0,0.083,0.009
Siam (USA),0,0,0.352,0.221
Amboise (GB),0,0,0.095,0.054
Tawrrific (NZ),2.113,2.092,0.565,0.412
River God I (USA),0,0,0.299,0.176
Jester (GB),0,0,0.035,0.006
Graveron (FR),0,0,0.235,0.072
No Ski (GB),0,0,0.44,0.245
Gold And Ivory (USA),3.874,0.966,0.583,0.521
Numerous (USA),0.581,0.824,0.495,0.293
Mountain Cat (USA),0,0,0.609,0.381
Eves Error (IRE),0,0,0.368,0.265
Carlton (GER),0,0,0.273,0.223
In Camera (IRE),0,0,0.083,0.014
Silver Charm (USA),0,0,0.583,0.347
Owington (GB),0,0,0.355,0.213
Awesome Again (CAN),2.905,1.007,0.875,0.774
Gleaming (IRE),1.937,4.676,0.476,0.346
Subordination (USA),0,0,0.488,0.281
Shavian (GB),0,0,0.553,0.333
Midhish (GB),0.42,0.456,0.355,0.213
American Chance (USA),0,0,0.321,0.191
Luhuk (USA),0,0,0.631,0.398
Bayolidaan (FR),3.169,0.898,0.585,0.493
Esteem Ball (FR),0,0,0.157,0.087
Lammtarra (USA),0,0,0.413,0.288
Gold And Steel (FR),0,0,0.444,0.308
Riot Helmet (IRE),0,0,0.68,0.473
Classic Music (USA),3.874,3,0.886,0.792
Hawkers News (IRE),0,0,0.364,0.132
Executive Man (GB),2.905,2.003,0.588,0.469
Somayda (IRE),1.291,1.496,0.395,0.261
Montbrook (USA),0,0,0.551,0.401
Muhtathir (GB),0,0,0.443,0.295
Bite The Bullet (USA),0,0,0.499,0.316
Balnibarbi (GB),0.612,0.799,0.479,0.323
Proud Panther (FR),0,0,0.528,0.347
Subotica (FR),3.874,5.005,0.745,0.608
Rhythm (USA),1.291,1.999,0.502,0.331
Cragador (GB),0,0,0.736,0.563
Torrential (USA),0,0,0.434,0.284
Hula Town (NZ),1.291,0.931,0.545,0.463
Android (USA),0,0,0,0
Doulab (USA),0,0,0.448,0.256
Legal Bwana (GB),0,0,0.538,0.342
Riva Marquee (GB),0,0,0,0
Comte Du Bourg (FR),0,0,0.238,0.17
Fresh Breeze (USA),0,0,0.453,0.291
Buckley (GB),0,0,0.1,0.04
Motivate I (GB),0,0,0.411,0.195
Lucky Guest (IRE),1.768,1.109,0.631,0.499
Sylvan Express (GB),1.937,4.502,0.591,0.386
Secret Of Success I (GB),0,0,0.387,0.255
Durgam (USA),0,0,0.181,0.062
Tropular (GB),0,0,0,0
Elbio (GB),0.867,0.766,0.516,0.356
Varese (FR),0,0,0.61,0.404
Picea (GB),0,0,0.102,0.017
Duke Valentino (GB),0,0,0.337,0.217
Black Monday (GB),1.892,1.506,0.546,0.418
Greinton (GB),2.905,0.844,0.677,0.615
Silver Pistol (AUS),0,0,0.25,0.147
Lyphards Wish (FR),0,0,0.399,0.256
Millfontaine (GB),1.162,1.235,0.416,0.243
Domitor (USA),0,0,0.208,0.087
Petit Montmorency (USA),1.66,1.165,0.458,0.379
Arctic Tern (USA),0,0,0.416,0.198
Ardar (GB),0,0,0.405,0.256
King Luthier (GB),0,0,0.285,0.157
Alfie Dickins (GB),1.453,1.957,0.347,0.203
Dock Leaf (GB),0,0,0.263,0.146
Kala Shikari (GB),0,0,0.292,0.13
Northern Legend (GB),0,0,0,0
Invited (USA),0,0,0.435,0.292
Tudor Diver (GB),0,0,0,0
Poets Dream I (IRE),2.905,2.417,0.667,0.576
Majestic Twoeleven (USA),1.291,0.626,0.515,0.404
Mutamarrid (GB),0,0,0.278,0.154
Highlands I (GB),0,0,0.573,0.433
PlayNtothegallery (IRE),0,0,0.373,0.188
Germont (GB),0,0,0,0
Golden Lahab (USA),0,0,0.308,0.095
Dress Parade (GB),0,0,0.511,0.407
Moshaajir (USA),0,0,0.605,0.41
Imperial Seal (GB),0,0,0.875,0.766
Orfano (GER),0,0,0.287,0.167
Star Way (GB),1.937,1.088,0.48,0.361
Vital Season (GB),0,0,0.769,0.592
Malaspina (GB),0,0,0,0
Phountzi (USA),0,0,0,0
Andretti I (GB),0.726,0.903,0.352,0.247
Tip Moss (FR),0,0,0.444,0.328
Sharpo (GB),2.324,3.527,0.218,0.202
Northern Amethyst (GB),0,0,0.364,0.196
Epaphos (GER),0,0,0.174,0.068
Bold Fox (GB),0,0,0.101,0.023
Lighter (GB),0,0,0.197,0.1
Genereux Genie (GB),2.905,1.573,0.631,0.545
Dadarissime (FR),0,0,0.635,0.482
Say Primula (GB),0,0,0.4,0.16
Lord Of Appeal (GB),0,0,0.342,0.185
Cool Jazz (GB),0,0,0.377,0.199
Surako (GER),3.874,1,0.808,0.689
Doubletour (USA),0.465,0.523,0.323,0.205
Grape Tree Road (GB),3.874,1.099,0.838,0.723
Two Punch (USA),0,0,0.427,0.19
Destroyer I (GB),11.621,9,1,1
Badolato (USA),0,0,0.429,0.276
West China (GB),0,0,0.254,0.121
Alamo Bay (USA),1.937,1.174,0.501,0.36
Tabasco Cat (USA),0.83,0.463,0.531,0.391
Fort Wood (USA),0,0,0.244,0.067
Basanta (IRE),2.179,1.982,0.649,0.519
Avarice (GB),5.811,4.247,0.702,0.627
Kizitca (FR),0,0,0.318,0.216
Gone Fishin (IRE),0,0,0.234,0.132
Kind Of Hush (GB),3.874,3.276,0.889,0.798
Balsamo (FR),3.874,1.435,0.381,0.34
Yachtsman (USA),0,0,0.056,0.006
Rushmere (GB),0,0,0.286,0.163
Odin I (FR),0,0,0,0
Konigsstuhl (GER),0,0,0.778,0.605
Lampon (FR),0,0,0.263,0.139
Advise (FR),0,0,0.48,0.264
Unblest (GB),0.484,0.444,0.502,0.339
Little Jim (GB),0,0,0.023,0.002
Pulpit (USA),0,0,0.529,0.336
Grey Dawn II (GB),0.775,0.987,0.421,0.23
Stephen Got Even (USA),0,0,0.539,0.363
Exploit (USA),0.775,0.729,0.466,0.335
Cherokee Run (USA),0,0,0,0
Aptitude (USA),0,0,0.574,0.337
Marmato (GB),0,0,0.667,0.472
Le Solaret (FR),0,0,0.532,0.294
Hellios (USA),1.66,0.793,0.552,0.452
Petionville (USA),1.162,1.326,0.492,0.342
Carson City (USA),0,0,0.39,0.232
Bobinski (GB),1.937,1.849,0.445,0.305
Enrique (GB),0,0,0.485,0.373
Seattle Dancer (USA),0,0,0.146,0.057
Mango Express (GB),0,0,0.778,0.606
My Generation (GB),0,0,0,0
Touch Gold (USA),0,0,0.416,0.229
Mbaiki (FR),0,0,0.8,0.64
Pocketed (USA),5.811,5.234,0.938,0.883
Flying Pegasus (IRE),0,0,0.438,0.191
Weet-A-Minute (IRE),0,0,0.067,0.013
Prince Of Peace (GB),0,0,0.5,0.25
Rebelsway (GB),0,0,0.091,0.025
Roviris (GB),0,0,0,0
Kadeed (IRE),0.85,0.826,0.394,0.272
Rangoon I (FR),0,0,0.133,0.036
Rainbow Myth (NZ),0,0,0.121,0.015
Art Francais (USA),0,0,0.2,0.04
Path Of Condie (GB),0,0,0.286,0.119
Treasure Kay (GB),0,0,0.322,0.139
Strike Diamonds (NZ),3.874,2.353,0.807,0.684
Michel Georges (GB),0,0,0.133,0.053
Dark Stone I (FR),0,0,0,0
Strategic (AUS),0,0,0.459,0.261
Meneval (USA),0,0,0.428,0.288
Kasmayo (GB),0.894,0.48,0.455,0.363
Bluffer (GB),0,0,0.091,0.017
Saxon Farm (GB),0,0,0.347,0.153
Convinced (GB),0.83,1.205,0.284,0.187
Gulland (GB),0,0,0.383,0.187
Surumu (GER),0,0,0.042,0.003
Restless Carl (IRE),5.811,1.414,0.909,0.835
River Mist (USA),0.83,0.389,0.552,0.399
Magic Of Sydney (AUS),0,0,0.216,0.048
General Holme (USA),0,0,0.569,0.435
Grey Desire (GB),0,0,0.188,0.053
Bollin William (GB),0,0,0.604,0.438
Love The Groom (USA),0,0,0,0
Courteous (GB),0,0,0.579,0.335
Long Leave (GB),0,0,0.188,0.07
General Gambul (GB),0,0,0.403,0.294
Kadrou (FR),0,0,0.417,0.181
Aboo Hom (GB),0,0,0,0
Parade Marshal (USA),5.811,1.35,0.938,0.884
Bid For Blue (GB),0,0,0.042,0.003
Arrasas (USA),0,0,0,0
Pioneering (USA),0,0,0.217,0.07
You And I (USA),0,0,0,0
Hello Mister (GB),0,0,0.116,0.02
Commendable (USA),0,0,0.642,0.415
Somersham (USA),0,0,0.333,0.111
Friul (ARG),2.905,3.073,0.592,0.42
Mizoram (USA),0,0,0.656,0.433
Royal Court I (IRE),0,0,0.679,0.509
Chickawicka (IRE),0,0,0.167,0.059
Tony Galvin (GR),1.937,1.205,0.58,0.47
Commands (AUS),0,0,0.614,0.514
Siphon (BRZ),0,0,0.9,0.81
Louis Quatorze (USA),0,0,0.174,0.092
Old Trieste (USA),0,0,0.414,0.277
General Assembly (USA),0,0,0.279,0.181
Kateb (IRE),0,0,0.171,0.033
Funambule (USA),0,0,0.331,0.124
Poyle George (GB),0,0,0.642,0.501
Carr De Naskra (USA),0,0,0.218,0.058
Ocean Of Wisdom (USA),6.973,2.909,0.809,0.71
Mighty (USA),0,0,0.708,0.545
Limnos (JPN),0,0,0.764,0.584
Nalchik (USA),0,0,0,0
Down The Hatch (GB),0,0,0.242,0.088
Espere DOr (GB),3.874,13.551,0.489,0.37
Masad (IRE),0,0,0,0
Actinium (FR),0,0,0.33,0.118
Missolonghi (USA),0,0,0.5,0.25
Lucky Wednesday (GB),0,0,0,0
DervishI (GB),0,0,0.062,0.004
Chakiris (USA),0,0,0.323,0.159
Macs Imp (USA),0,0,0.294,0.168
Remainder Man (GB),0,0,0.273,0.074
Dehere (USA),0,0,0,0
Song Of The Woods (GB),0,0,0.265,0.114
Feelings (FR),0,0,0,0
Nader I (GB),0,0,0.188,0.078
Mellifont (USA),0,0,0,0
Cobra King (USA),0,0,0.8,0.64
Glenstal (USA),0,0,0.177,0.032
Dolpour (IRE),0,0,0.833,0.694
Aelan Hapi (USA),0,0,0,0
Menifee (USA),0,0,0.5,0.25
Always Fair (USA),0,0,0.125,0.016
Ramsey Hope (GB),0,0,0,0
Keos (USA),0,0,0.251,0.07
Mazel Trick (USA),0,0,0,0
King Of The Heap (USA),0,0,0.185,0.055
Shy Groom (USA),0,0,0.667,0.444
Bold Fort (GB),0,0,0.083,0.021
Rymer (GB),0,0,0,0
Fascinating Way (GR),0,0,0,0
Decent Fellow (GB),0,0,0,0
Moon Madness (GB),5.811,1.585,0.9,0.82
Mesleh (GB),2.324,1.315,0.462,0.397
Gypsy Castle (GB),0,0,0,0
Less Ice (GB),0,0,0,0
Noblequest (FR),0,0,0,0
Mister Majestic (GB),0,0,0,0
Desse Zenny (USA),0.553,0.558,0.453,0.301
Vitus (GB),0,0,0.818,0.669
Maelstrom Lake (GB),0,0,0.288,0.09
Sacrament (GB),5.811,6.476,0.55,0.505
Ski Chief (USA),0,0,0.4,0.285
Who Knows I (IRE),0,0,0,0
Nile Delta (IRE),0,0,0,0
Ile De Chypre (GB),0,0,0.7,0.5
Sharkskin Suit (USA),0,0,0,0
Bakharoff (USA),0,0,0.429,0.184
Tromeros (GB),0,0,0.143,0.041
Current Edition (IRE),0,0,0.071,0.005
Fastness (IRE),0,0,0.444,0.198
Queens Soldier (USA),0,0,0.167,0.028
Cat Thief (USA),0,0,0.2,0.04
Young Freeman (USA),0,0,0,0
St Hilarion (USA),0,0,0,0
Sharifabad (IRE),0,0,0.475,0.314
Milesius (USA),0,0,0,0
Crofthall (GB),0,0,0.546,0.32
Distinct Native (GB),0,0,0,0
Taishan (GER),0,0,0,0
Bojador (FR),0,0,0,0
Be Happy (NZ),0,0,0.268,0.084
Ambroise I (FR),0,0,0,0
Saratoga Springs (CAN),5.811,1.557,0.969,0.939
War Hero (GB),0,0,0.367,0.224
Insatiable (IRE),0,0,0.2,0.08
Well Beloved (GB),5.811,9.92,0.808,0.689
Tamayaz (CAN),0,0,0,0
Tigani (GB),0,0,0.038,0.003
Labus (FR),0,0,0.467,0.218
Ungaro (GER),0,0,0.867,0.751
House Rules I (USA),0,0,0,0
Astarabad (USA),0,0,0.909,0.826
Pontevecchio Notte (GB),0,0,0.2,0.04
Secret Haunt (USA),0,0,0,0
Dounba (FR),0,0,0,0
Daun (GER),2.734,1.615,0.592,0.48
Mandelbaum (GER),1.291,1,0.639,0.509
Port Lucaya (GB),1.291,1.667,0.507,0.361
Majestic Light (USA),0,0,0.398,0.226
Man Remains (IRE),11.621,2.75,1,1
Shujan (USA),0,0,0.083,0.021
Capitano (GB),0,0,0.402,0.249
Pimpernels Tune (GB),0,0,0.275,0.115
Dabali (IRE),1.937,2.341,0.537,0.4
Spicy Story (USA),0,0,0.791,0.634
Alydeed (CAN),0,0,0.222,0.066
Fairydel (IRE),4.649,1.745,0.831,0.726
Padre Pio (GB),0,0,0.445,0.275
Woodpas (USA),0.968,1.206,0.411,0.288
Naiyli (GB),0,0,0.327,0.172
Bowling Pin (GB),0,0,0.597,0.418
Take Risks (FR),1.835,0.943,0.635,0.507
Ashford (USA),0,0,0.616,0.467
Exodal (USA),0,0,0.596,0.365
St Columbus (GB),0,0,0.192,0.074
General View (GB),0,0,0.596,0.447
Stetchworth (USA),0,0,0.593,0.452
Visto Si Stampi (IRE),0,0,0.682,0.56
Prince Rooney (IRE),0,0,0.134,0.043
Farma Way (USA),1.291,0.929,0.467,0.339
Chinook Eclipse (USA),0,0,0.4,0.16
Verglas (IRE),0.646,0.448,0.624,0.472
Seamanship (GB),0,0,0.301,0.139
Air Quest (GB),0,0,0.504,0.292
Radical (GB),0,0,0,0
Mr Confusion (IRE),0.684,0.831,0.519,0.347
Corradini (GB),0,0,0.262,0.145
Golden Tornado (IRE),0,0,0.5,0.255
Legal Pressure (USA),0,0,0.095,0.014
Tawriffic (NZ),0,0,0.174,0.036
Volochine (IRE),0,0,0.496,0.277
Orpen (IRE),5.811,1.05,0.938,0.883
Flaming Feather (GB),1.056,0.878,0.552,0.436
Sharemono (USA),0,0,0,0
Looking For (GB),0,0,0,0
Victory Gallop (CAN),0,0,0.36,0.149
Saumarez (GB),0,0,0.394,0.318
Dalal (FR),0,0,0.412,0.17
Political Merger (USA),1.453,2.13,0.318,0.237
Saint Cyrien (FR),3.32,1.687,0.515,0.443
Runyon (IRE),1.291,0.564,0.814,0.697
Sylvan Point (GB),0,0,0.399,0.176
Ball Park (NZ),0,0,0.304,0.139
Danewin (AUS),0,0,0.308,0.113
Bereg (USA),0,0,0.514,0.319
Project Manager (GB),2.324,1.433,0.485,0.353
Almaarad (IRE),0,0,0.398,0.225
Desert Of Wind (USA),0,0,0.451,0.27
All My Dreams (IRE),0,0,0.311,0.109
Long Pond (IRE),0,0,0.51,0.355
Sea Hero (USA),0,0,0.554,0.308
Naevus (USA),0,0,0.483,0.285
Persian Brave (IRE),1.056,1.189,0.393,0.214
Dyhim Diamond (IRE),0,0,0.685,0.487
Salt Dome (USA),0,0,0.287,0.111
Stormy Atlantic (USA),0,0,0.505,0.255
Seabrook (USA),0,0,0.092,0.018
Borovoe (GB),0,0,0.387,0.214
Temporal (GER),3.874,2.406,0.873,0.773
Tornabuoni (GB),0,0,0.339,0.22
Maramouresh (IRE),0,0,0.286,0.082
Arc Bright (IRE),0,0,0,0
Summer Squall (USA),0,0,0.398,0.23
Habs Lad (GB),0,0,0.152,0.046
Pistols And Roses (USA),0,0,0.176,0.062
Trigon (GB),0,0,0.367,0.146
Sanchi Steeple (GB),0,0,0,0
Military (USA),0,0,0.785,0.624
Fools Holme (USA),0,0,0.105,0.011
Kenmare (FR),0,0,0.364,0.264
White Christmas (GB),0,0,0.447,0.228
Finalto (GB),0,0,0.054,0.003
Lord Noble (IRE),0,0,0.143,0.041
Parliament I (GB),11.621,10.408,1,1
Febrino (GB),0,0,0.504,0.384
Stereo I (USA),0,0,0.26,0.117
Beau Zephyr (AUS),0,0,0,0
Wolf Power (SAF),1.937,0.912,0.671,0.59
Blaze OGold (USA),0,0,0.667,0.444
Flying Chevron (USA),0,0,0.6,0.4
Successful Appeal (USA),0,0,0.303,0.148
New Express (GB),0,0,0.185,0.047
Architect I (USA),0,0,0.471,0.221
Cicerao (IRE),0,0,0.826,0.682
Acting Brave (GB),0,0,0.2,0.04
Daar Alzamaan (IRE),1.937,2.537,0.664,0.468
African Chimes (GB),3.874,3.223,0.775,0.63
Sea Freedom (GB),0,0,0.2,0.04
Arawak I (USA),0,0,0,0
Try Prospect (USA),0,0,0.322,0.158
Close Conflict (USA),0,0,0.283,0.159
Sultry Song (USA),0,0,0.145,0.032
Ballinvella Boy (GB),0,0,0.419,0.206
Bruff Crozier (GB),0,0,0.688,0.473
Editors Note (USA),0,0,0.3,0.135
Alysheba (USA),2.905,1.728,0.718,0.574
Noir Et Or (GB),0,0,0.05,0.004
Sirsan (IRE),5.811,2.87,0.607,0.523
Doneraile Court (USA),0,0,0,0
Struggler (GB),0,0,0,0
Cashel Court (GB),0,0,0.605,0.425
Sunshine Street (USA),0,0,0.183,0.052
Orange Reef (GB),0,0,0.224,0.094
Vasco (USA),0,0,0.05,0.005
Comet Shine (CAN),0,0,0.5,0.25
Munir (GB),0,0,0.26,0.121
Niels (GB),0,0,0.449,0.257
Desert Secret (IRE),0,0,0,0
Colonel Godfrey (USA),0,0,0.398,0.159
Royal Canal (USA),0,0,0.635,0.495
Conquering Hero (USA),0,0,0.344,0.236
Le Bavard (FR),0,0,0.133,0.018
Sheer Grit (GB),0,0,0.167,0.028
Coronado (IRE),3.874,8.029,0.617,0.47
Hazaam (USA),0,0,0.267,0.213
Carmelite House (USA),0,0,0.102,0.016
Coquelin (USA),0,0,0.133,0.018
Sagamix (FR),0,0,0.562,0.32
Lion DOr (USA),0,0,0,0
Mummys Luck (GB),0,0,0.824,0.678
Lord Upton (IRE),0,0,0.087,0.008
Abary (GER),0,0,0.571,0.354
House Of Cards (IRE),0,0,0.323,0.112
Welsh Lion (IRE),0,0,0.111,0.037
Wall Street Dancer (USA),0,0,0.067,0.009
Modern Dancer (GB),0,0,0.106,0.014
Glad Dancer (GB),0,0,0.176,0.031
Estimraar (IRE),0,0,0.722,0.522
Regal Classic (CAN),0,0,0.062,0.004
Precious Metal (GB),0,0,0.267,0.071
Rimilis (GB),0,0,0,0
Exactly Sharp (USA),0,0,0,0
Tulac An Iarainn (GB),0,0,0.733,0.538
Parole (GB),0,0,0.693,0.489
Victory Speech (USA),0,0,0.4,0.16
