dam,IV,A/E,PRB,PRB2
Top Jem GB,3.32,3.706,0.62,0.461
For More (FR),1.453,0.554,0.739,0.591
Wigging GB,1.291,0.833,0.407,0.236
Angelic Sounds (IRE),0,0,0.366,0.282
Madame Premier (USA),0,0,0.302,0.215
No Makeup (USA),2.905,1.599,0.772,0.616
Ivorine (USA),3.874,1.502,0.848,0.74
Dynamic Dream (USA),1.937,1.695,0.733,0.655
Scarab Bracelet (USA),1.66,0.772,0.594,0.421
Near Miracle GB,0,0,0.533,0.329
Fife (IRE),0,0,0.207,0.106
Palace Blue (IRE),0,0,0.316,0.17
Britannia (GER),2.324,0.734,0.721,0.573
Sea Quest (IRE),0,0,0.333,0.119
Tetravella (IRE),1.453,0.979,0.532,0.419
Chasethewildwind (USA),11.621,1.797,1,1
Fledgling GB,3.32,1.818,0.686,0.53
Dance Diane (USA),1.937,2.264,0.673,0.528
La Belle Otero (USA),5.811,2.906,0.908,0.836
Welsh Mist GB,1.291,1.454,0.496,0.315
Campiglia (IRE),0,0,0.542,0.335
Never Diss Miss GB,0,0,0.468,0.275
Frond GB,0,0,0.557,0.335
Wannabe Grand (IRE),7.748,3.077,0.857,0.776
Downtown Blues (USA),0,0,0.171,0.03
Minerva (IRE),0,0,0.217,0.054
Thaidah (CAN),0,0,0.275,0.124
Jucea GB,0,0,0.498,0.349
It GirlI GB,0,0,0.288,0.128
Cois Cuain (IRE),0,0,0.41,0.169
Georgianna (IRE),0,0,0.661,0.522
Jetapat (USA),0,0,0,0
Romantic Air GB,0,0,0.346,0.183
Colorvista GB,0,0,0.347,0.213
Robalana (USA),0.968,0.624,0.598,0.439
Polish Romance (USA),0,0,0.272,0.14
Dove Shoot (USA),0,0,0,0
Bezzaaf GB,3.874,1.991,0.5,0.417
Grove Dancer GB,0,0,0.33,0.238
Maid Of Killeen (IRE),0,0,0.176,0.086
Veuve Hoornaert (IRE),1.107,1.286,0.538,0.379
Penthouse Lady GB,0,0,0.381,0.217
Ermine (IRE),0,0,0.56,0.377
Woodenitbenice (USA),0.775,0.885,0.355,0.209
Dime Bag GB,0,0,0.243,0.127
Haut Volee GB,0,0,0.319,0.151
Matisse GB,0,0,0.533,0.32
Fleet Hill (IRE),0,0,0.499,0.291
Poppadam GB,0,0,0.668,0.477
Galeta (ARG),0,0,0.632,0.432
Maggi For Margaret GB,0,0,0.484,0.252
Specifiedrisk (IRE),0,0,0.479,0.318
Land Ahead (USA),0,0,0.543,0.368
Carsonality (USA),0,0,0.144,0.04
Light River (USA),0,0,0.045,0.004
Chicodove GB,0.968,1.019,0.603,0.441
Megans Flight GB,2.583,1.385,0.568,0.436
Barbizou (FR),1.453,1.229,0.458,0.347
Generate GB,0,0,0.277,0.164
Code From Heaven (USA),0,0,0.757,0.608
Alashir (USA),0,0,0.82,0.674
Delilah (IRE),0,0,0.636,0.414
Siwaayib GB,0,0,0.343,0.124
Flavian GB,2.113,2.057,0.474,0.34
Riviere Du Diable (USA),0,0,0.465,0.29
Momentous (USA),2.324,2.404,0.396,0.313
Truly Flattering GB,2.905,3.703,0.497,0.355
Last Look GB,1.162,0.776,0.664,0.541
Ordessa (GER),0,0,0.21,0.095
Logic GB,1.453,0.936,0.619,0.487
Alte Garde (FR),1.056,0.606,0.813,0.675
Name Of Love (IRE),2.324,1.273,0.59,0.404
Muhaba (USA),2.905,1.033,0.575,0.463
Roshani (IRE),3.169,1.682,0.84,0.724
Norfolk Lavender (CAN),1.056,0.831,0.494,0.31
Woodie Dancer (USA),1.788,1.345,0.52,0.374
Fiamma (IRE),0,0,0.302,0.119
Ghana (IRE),3.874,3.586,0.437,0.349
Khulasah (USA),0,0,0.193,0.065
Cidaris (IRE),1.056,1.066,0.462,0.333
Isla Del Rey (USA),4.649,2.488,0.653,0.596
Silver Bandana (USA),3.874,4.625,0.7,0.537
Ela Athena GB,0,0,0.263,0.106
Princess Kris GB,0,0,0,0
Maid Of Camelot GB,0,0,0.542,0.337
New Abbey GB,0,0,0.167,0.031
Fleeting VisionI (IRE),0,0,0.253,0.12
Ball Gown GB,1.056,1.072,0.532,0.381
Hail Kris (USA),2.905,1.522,0.771,0.659
Nagnagnag (IRE),0,0,0.376,0.168
All To Easy GB,0.968,1.05,0.505,0.366
Fortunate GB,2.905,2.032,0.412,0.333
Hureya (USA),0,0,0.867,0.752
Tamise (USA),4.649,1.845,0.717,0.651
Oshiponga GB,0,0,0.679,0.488
Tropicana (IRE),1.66,1.213,0.569,0.401
Top Of The Form (IRE),1.291,1.383,0.546,0.401
Alizee (IRE),0,0,0.253,0.098
Attasliyah (IRE),1.291,0.722,0.534,0.418
Lailati (USA),5.811,1.941,0.9,0.82
Palme DOr (IRE),0,0,0.627,0.423
Adjisa (IRE),2.905,1.356,0.563,0.438
Coy Debutante (IRE),0,0,0.283,0.145
Entente Cordiale (USA),0,0,0.398,0.302
Wildcat Blue (USA),1.66,1.223,0.79,0.654
Olden Lek (USA),1.367,0.792,0.407,0.305
Maskunah (IRE),0,0,0.198,0.046
Petrovna (IRE),1.66,0.875,0.569,0.409
Roseum GB,0,0,0.641,0.446
Miss Up N Go GB,0,0,0.627,0.455
Queen Of Aragon GB,0,0,0.325,0.159
Much Too Risky GB,5.811,4.548,0.635,0.572
Ajayib (USA),1.55,0.938,0.633,0.457
Muwasim (USA),0,0,0.457,0.275
Harpia (USA),0,0,0.168,0.039
Lonesome GB,1.66,1.071,0.548,0.4
Saleela (USA),11.621,5.5,1,1
Tweed Mill GB,0.894,0.722,0.595,0.429
Relankina (IRE),0,0,0.79,0.648
Tathkara (USA),0,0,0.488,0.275
Ring Of Music GB,0,0,0.676,0.501
El Divino (IRE),0,0,0.491,0.258
Ranin GB,0,0,0.216,0.048
Vieux CarreI GB,1.291,0.774,0.569,0.473
Gay Heroine GB,0,0,0.422,0.273
Tenue DAmour (FR),0.968,1.902,0.284,0.166
Aude La Belle (FR),5.811,1.814,0.882,0.8
Oumaladia (IRE),2.324,1.052,0.786,0.644
Elizabeth Bay (USA),0,0,0.328,0.139
Fleeting Affair GB,0,0,0.404,0.226
Do The Mambo (USA),11.621,9,1,1
Intimaa (IRE),0,0,0.892,0.796
Support The Arts (USA),0,0,0.664,0.506
Blackpool Belle GB,0,0,0.219,0.103
Kaliningrad (IRE),0,0,0.266,0.106
Elauyun (IRE),0,0,0.182,0.066
Evie Hone I (IRE),1.66,1.394,0.507,0.34
Wheres The Money GB,3.874,2.727,0.489,0.391
Tiavanita (USA),5.811,1.906,0.917,0.847
Nineteenth Of May GB,1.66,1.506,0.481,0.316
Cephalonie (USA),5.811,2.923,0.875,0.781
Canny Miss (AUS),5.811,1.429,0.962,0.926
Jemalina (USA),0,0,0.728,0.531
Wiener Wald (USA),3.874,2.415,0.65,0.497
Amber Tide (IRE),0,0,0.538,0.29
Royal Future (IRE),0,0,0.227,0.095
Serene Princess (USA),0,0,0.385,0.148
June Lady GB,0,0,0.323,0.112
Annies Song GB,0,0,0.091,0.021
Akhira GB,3.874,2.301,0.619,0.478
Belle Sultane (USA),3.874,1.34,0.786,0.642
Amy Hunter (USA),0,0,0,0
Flagbird (USA),0,0,0.833,0.694
Dolydille (IRE),1.937,0.629,0.797,0.661
Musician GB,0,0,0.467,0.226
Arabian Lass (SAF),0,0,0.64,0.462
Tamelia (USA),0,0,0.333,0.111
Shall We Dance GB,1.66,1.264,0.497,0.354
Lehua (IRE),0,0,0.083,0.007
Ring Of Love GB,0,0,0.21,0.116
Amber Fizz (USA),1.453,1.195,0.579,0.479
Sun And Shade GB,3.874,1.088,0.73,0.615
Far Fetched (IRE),0,0,0.7,0.5
Andaleeb (USA),3.874,3.992,0.7,0.537
Fabulous Pet GB,0,0,0.197,0.056
Embassy GB,0,0,0.539,0.376
Vantive (USA),0,0,0.846,0.716
Disco Darlin (USA),0,0,0.592,0.367
Red Rabbit GB,5.811,2.69,0.846,0.74
Vettorina (IRE),0,0,0.641,0.412
Wenge (USA),0,0,0.489,0.241
New Sayyedati (USA),0,0,0.621,0.427
Gaijin GB,0,0,0.444,0.302
Khubza GB,0,0,0.494,0.301
Vax Rapide GB,0,0,0.106,0.014
Limuru GB,0,0,0,0
Bombazine (IRE),1.937,0.5,0.598,0.539
Mrs Ting (USA),5.811,1.202,0.9,0.82
Silvester Lady GB,5.811,7.65,0.8,0.68
Yawl GB,0,0,0.513,0.275
Dust Dancer GB,0,0,0.681,0.529
Jood (USA),0,0,0,0
Ruby Princess (IRE),1.056,0.942,0.443,0.29
Inoma Slew (USA),0,0,0.847,0.718
Fantasy Lake (USA),2.905,1.085,0.712,0.585
Boast GB,3.874,1.68,0.731,0.585
Fairy Contessa (IRE),0,0,0.208,0.075
Park Charger GB,0,0,0.402,0.33
Silver Colours (USA),0,0,0.2,0.085
Genovefa (USA),2.324,0.863,0.467,0.349
Prospective I (USA),7.748,2.886,0.667,0.667
Field Of Hope (IRE),3.874,1.011,0.874,0.779
Mialuna GB,3.874,0.765,0.829,0.722
Cercida (USA),3.874,2.308,0.429,0.361
Al Desima GB,2.905,2.425,0.588,0.467
Fairy Song (IRE),0,0,0,0
Eliza Acton GB,1.937,1.427,0.639,0.479
Immortelle GB,0.83,0.963,0.6,0.417
Missed Again GB,1.937,0.634,0.712,0.616
Taibhseach (USA),1.66,1.184,0.524,0.356
Bella Ballerina GB,0.894,1.06,0.594,0.408
Lemixikoa (FR),0,0,0.223,0.16
Admiralella GB,1.367,1.002,0.61,0.446
First Amendment (IRE),0,0,0.226,0.071
Rapid Ground GB,0,0,0.598,0.37
Lequest GB,0,0,0.642,0.427
Smah GB,1.66,0.729,0.79,0.648
Barna Havna GB,1.66,2.595,0.355,0.227
Ophyr Du Forez (FR),0,0,0.315,0.163
Leaney Kamscort GB,0,0,0.071,0.015
Sunley Words GB,0,0,0.167,0.056
Oak Invasion (NZ),0,0,0.585,0.417
Honeycroft GB,1.056,0.826,0.544,0.352
Rest GB,2.324,0.882,0.661,0.489
Lisaleen River GB,0,0,0.493,0.252
Myra Gaye GB,3.486,1.953,0.371,0.351
Frille (FR),0.894,0.654,0.597,0.48
Cool Merenda (IRE),1.162,0.705,0.543,0.37
Some Dream GB,0,0,0.375,0.281
Handymouse GB,2.324,1.836,0.635,0.54
Dellagrazia (USA),1.453,0.565,0.551,0.411
Someforall (USA),0,0,0.493,0.308
Welsh Fantasy GB,0,0,0.121,0.036
Dernier Cri GB,0.83,0.7,0.563,0.395
Athy Lady GB,0,0,0.133,0.044
Briery Gale GB,2.905,1.886,0.805,0.677
Parsons Law GB,0,0,0.5,0.25
Anaconda (IRE),0,0,0.202,0.062
Bright Day (IRE),0,0,0,0
Middle Third GB,2.324,4.435,0.373,0.286
Two Travellers GB,0,0,0.542,0.462
Sams Money GB,0,0,0.377,0.285
Dear Person GB,0,0,0.636,0.408
Gizmo (NZ),0,0,0.429,0.286
Coral Delight GB,0.775,0.662,0.481,0.314
Loreto Lady GB,2.583,1.255,0.62,0.495
Grease Pot GB,0,0,0,0
Shahdjat (IRE),0,0,0.429,0.284
La Mesange (FR),0,0,0.632,0.513
Top O The Mall GB,0,0,0.762,0.586
Dunkellin (USA),0,0,0,0
Another Treat GB,0,0,0.383,0.241
Sail Loft GB,0,0,0,0
Ruckinge Girl GB,0,0,0,0
Asigh Glen GB,0,0,0,0
Haha Dash (IRE),0,0,0,0
Palencia (FR),0,0,0,0
Mistress Caramore (IRE),0,0,0.546,0.32
Lautrea (IRE),0,0,0.615,0.379
Gi Moss GB,0,0,0.475,0.23
Olnistar (FR),1.162,1.275,0.502,0.396
Wordys Wonder GB,0,0,0,0
Butty Miss GB,1.55,0.973,0.575,0.449
Billys Pet GB,1.056,0.715,0.576,0.468
Platonica (ITY),0,0,0.695,0.517
Shoshone GB,1.056,1.035,0.492,0.362
Fontaine Lodge (IRE),0,0,0.375,0.228
Magic Maggie GB,0,0,0.463,0.307
Off Guard (FR),1.66,1.064,0.436,0.313
Poplife I (FR),0,0,0.863,0.75
Castle Cary GB,0,0,0.185,0.068
Rainy Sky GB,0,0,0.106,0.03
Orchards Beauty (IRE),0,0,0.75,0.562
Disco Girl I (FR),0,0,0.5,0.25
Heavenly Queen GB,0,0,0.364,0.177
Glittering Steel GB,0,0,0,0
Samya King (FR),0,0,0,0
Bay Shade (USA),3.874,1.895,0.684,0.58
Delightful Chime (IRE),1.245,0.812,0.615,0.48
River Lullaby (USA),2.682,1.948,0.549,0.441
Divine Pursuit GB,0,0,0.277,0.131
Trick Of Ace (USA),0.968,0.796,0.381,0.231
Annaberg (IRE),2.583,1.726,0.5,0.364
Ballycahan Girl GB,0,0,0.436,0.302
Kirriemuir GB,0,0,0.289,0.132
Lac Dessert (USA),0,0,0.312,0.148
Cailin Liath GB,0,0,0.877,0.777
Forest Jem GB,0.775,0.556,0.545,0.406
Sharmalyne (FR),0,0,0,0
Trapper Jean GB,0,0,0.494,0.355
Spendapromise (IRE),0,0,0.25,0.091
Rakajack GB,1.162,0.516,0.643,0.489
Kambaya (IRE),1.162,0.607,0.399,0.278
Shannon Spray GB,3.874,1.226,0.646,0.533
Club Sandwich GB,0,0,0.839,0.709
Shemaleyah GB,0.726,0.766,0.604,0.444
Kilvarnet GB,0,0,0.382,0.181
Smart Rhythm GB,0,0,0.31,0.116
Princess Touchee (IRE),0,0,0.166,0.044
Dominet (POL),0,0,0.514,0.275
Crambella (IRE),0,0,0.395,0.2
Mena GB,0,0,0.242,0.1
A Mean Fit (USA),0,0,0.256,0.147
Socher GB,0,0,0.692,0.504
Lizzie The Twig GB,2.905,1.434,0.818,0.692
Donegal Grey (IRE),0,0,0.469,0.325
Anna Of Brunswick GB,0,0,0.376,0.264
Matoaka GB,0,0,0.322,0.187
Glenmalur GB,0,0,0.542,0.446
Baby Isle GB,0,0,0.7,0.49
La Chance Au Roy (FR),0,0,0.6,0.36
Herbal Lady GB,0,0,0.226,0.149
Maybird GB,0,0,0.281,0.159
Node GB,0,0,0,0
Moon Review (USA),0,0,0,0
Redgrave Devil GB,2.113,1.394,0.64,0.497
The Way She Moves GB,0,0,0.414,0.261
Shimmer GB,0,0,0.754,0.612
Princess Lieven GB,0,0,0.556,0.309
Ocean Ballad I GB,0,0,0.176,0.074
Victorian Flower GB,3.32,1.605,0.738,0.6
Una Volta (FR),0,0,0.413,0.268
Petaluma Pet GB,0,0,0.275,0.213
Pendils Niece GB,4.649,2.779,0.647,0.581
Trojan Crown (IRE),0,0,0.589,0.408
Smart Heiress (USA),1.453,1.641,0.601,0.443
Forever Waving (USA),0,0,0.233,0.163
Lady-Easton GB,0,0,0,0
Zeferina (IRE),1.66,1.5,0.506,0.408
Contessina (FR),2.324,1.778,0.477,0.371
Brangane (IRE),1.937,5.049,0.364,0.248
Scallys Queen Jay GB,0,0,0.074,0.016
Fairly Deep GB,1.056,0.678,0.708,0.554
Capricious Lady (IRE),1.291,1.392,0.395,0.234
Artic Night I (FR),0,0,0.631,0.506
Great Dante (IRE),1.162,0.781,0.409,0.295
Manhattan King (IRE),0,0,0.244,0.132
Louve Bleue (USA),0,0,0.25,0.125
Willshego GB,0,0,0.45,0.405
Serena Bay GB,0,0,0.411,0.277
Callmartel (IRE),11.621,3,1,1
Cabriole Legs GB,2.324,0.892,0.723,0.658
All Alright GB,0,0,0.369,0.223
Lucky Vienna GB,0,0,0.283,0.094
Sananjella (IRE),0,0,0.062,0.008
Whitecorners (USA),0,0,0.551,0.359
Coffee Bean GB,0,0,0.387,0.227
Hardy Polly GB,0,0,0.413,0.3
Mainmast GB,0,0,0.222,0.148
Mersey I GB,2.905,0.985,0.522,0.461
Playwaki (USA),1.66,3.394,0.348,0.245
Wig Wam (IRE),2.324,1.829,0.426,0.328
Jolly Girl GB,0,0,0.17,0.051
Gold Tear (USA),0,0,0.378,0.249
Royal Birthday GB,3.874,3.351,0.877,0.778
Money Talks (IRE),1.162,0.714,0.772,0.622
Introvert I (USA),1.66,1.101,0.641,0.466
Jetty (FR),0,0,0.846,0.716
Cerosia GB,0,0,0.252,0.101
Great Dilemma GB,0,0,0.547,0.328
Chichells Hurst GB,1.056,0.729,0.581,0.422
In The Brownies (IRE),4.358,1.539,0.82,0.739
Corsini GB,0.968,0.468,0.672,0.502
Greek Myth (IRE),0.968,0.496,0.489,0.342
Begine (IRE),0,0,0.615,0.379
Etienne Lady (IRE),1.66,0.929,0.607,0.473
Maiden Aunt (IRE),0,0,0.28,0.106
Fast Selection (USA),0,0,0.249,0.102
Rosie Cone GB,1.66,1.175,0.579,0.45
Brown Forest GB,0,0,0.636,0.429
Highly Fashionable (IRE),0,0,0.421,0.268
Baileys On Line GB,0,0,0.368,0.18
Raazi GB,0.968,0.564,0.584,0.428
Altesse DO (FR),0,0,0.432,0.219
Kicka GB,0,0,0.356,0.191
Lydara (USA),0,0,0.089,0.016
One Back (IRE),2.113,1.462,0.622,0.464
Cactus Wren (IRE),0,0,0.58,0.452
Shuil Na Gale GB,2.324,2.577,0.536,0.393
Shuil Ar Aghaidh GB,2.583,1.081,0.569,0.494
Miss Penguin GB,0.775,1.285,0.347,0.241
Fine Quill GB,11.621,3.5,1,1
Sailors Joy GB,0,0,0.553,0.314
Rozamie (FR),0,0,0.431,0.261
Vulcash (IRE),1.788,0.827,0.627,0.494
Pusey Street I GB,0.968,1.118,0.451,0.292
Lady Letitia GB,0,0,0.167,0.083
La Musardiere (FR),0,0,0.278,0.154
Waterland Lady (IRE),0,0,0.219,0.191
Amy Just (IRE),5.282,3.523,0.699,0.623
Cherry Sip GB,0,0,0,0
Minnies Dipper GB,0,0,0.54,0.396
River Rescue GB,0,0,0.167,0.083
Miss Adventure GB,0,0,0.567,0.407
Fast Girl (FR),0,0,0.443,0.234
Superflash GB,0,0,0.528,0.329
Gleaming Water (USA),1.937,0.93,0.613,0.424
La Florian (FR),0,0,0.062,0.008
Donna Star GB,0,0,0.236,0.14
Seeborg GB,0,0,0.467,0.303
Badsworth Madam GB,0,0,0.539,0.415
Gemia (FR),0,0,0.571,0.327
Wind Chimes I GB,0,0,0.111,0.037
Holly (GER),0,0,0.25,0.188
Candid Lady GB,0,0,0.378,0.241
Tarry GB,0,0,0.289,0.146
Loving Claim (USA),0,0,0.19,0.066
Arts Project (IRE),1.66,2.244,0.443,0.335
Ombry Girl (IRE),0,0,0.384,0.173
Discomatic (USA),0,0,0.38,0.235
Airey Fairy (IRE),0,0,0.208,0.13
Ruby Green VII GB,0,0,0,0
Debolouve (FR),0,0,0.383,0.279
Rexana GB,0,0,0.423,0.233
Dooley OBrien GB,1.937,0.959,0.631,0.507
Mistress Anna GB,0,0,0.5,0.25
Mothers Blessing GB,0,0,0.311,0.165
Belle VII GB,11.621,5.5,1,1
Ganpati (IRE),2.905,2.491,0.837,0.718
Buzzing Beauty GB,0,0,0.322,0.148
Black HPenny GB,0,0,0.125,0.031
Djerissa (FR),1.937,0.862,0.681,0.495
Beann Ard (IRE),0,0,0.214,0.106
Colombine (USA),0,0,0.113,0.026
Mo Ceri GB,0,0,0,0
Kettleby (IRE),2.324,1.114,0.587,0.398
Bit Of A Chance GB,0,0,0.469,0.304
Lady Mearba (IRE),0,0,0.318,0.144
Princess Accord (USA),1.056,1.884,0.313,0.206
Spin A Coin GB,0,0,0.365,0.209
Tajfah (USA),0,0,0,0
Leading Line GB,2.583,1.359,0.582,0.438
Murroe Star GB,3.32,1.879,0.791,0.663
Quilpee Mai GB,0,0,0.409,0.254
Rowlandsons Charm (IRE),0,0,0,0
Reign Of Terror (IRE),0,0,0.447,0.276
Greek Melody (IRE),0,0,0.482,0.277
Go Hunting (IRE),3.32,6.175,0.286,0.286
Lady Swinford GB,3.32,0.908,0.518,0.423
Rich Desire GB,3.32,0.882,0.822,0.754
Hand Me Down GB,1.937,2.458,0.65,0.46
Nothing Sweeter (USA),0,0,0.184,0.07
Misty Gleam (NZ),0,0,0.114,0.039
Lee Valley Lady (IRE),0,0,0.244,0.125
Fallonetta GB,0,0,0.1,0.03
Rent Day GB,1.788,0.771,0.608,0.495
Sister Rosarii (USA),3.874,2.045,0.593,0.535
Sweet Mayo (IRE),0,0,0,0
The Vine Browne (IRE),2.905,2.419,0.48,0.401
Titjana (FR),0,0,0.182,0.066
Fionas Wish GB,0,0,0.245,0.112
Sextons Service GB,0,0,0.067,0.022
Deep Creek GB,0,0,0.627,0.402
Quilty Rose GB,0,0,0.492,0.278
Butlers Daughter GB,0,0,0,0
Jonsemma (IRE),0,0,0,0
Dis Fiove GB,0,0,0,0
Gra-Bri (IRE),8.716,3.266,0.944,0.901
Miss Ondee (FR),0,0,0.739,0.559
Threads GB,0,0,0.459,0.326
Kentford Duchess GB,0,0,0.36,0.178
Always A Pleasure GB,0,0,0.203,0.079
Star Precision GB,0,0,0.125,0.031
Emma Grimes (IRE),3.874,1.595,0.674,0.533
Dia (IRE),0,0,0.214,0.064
Miss Kirsty (USA),1.056,0.511,0.723,0.582
Lola Mora GB,0,0,0.056,0.009
Marie De Flandre (FR),2.113,1.672,0.525,0.38
Myhat GB,0,0,0.336,0.166
Woodcrest GB,0,0,0.462,0.244
Triple Zee (USA),0,0,0.273,0.092
Pandrop GB,0,0,0.364,0.264
Sevens Are Wild GB,0,0,0.067,0.013
Ballykett Pride (IRE),0.612,0.77,0.453,0.28
Zoyce GB,0,0,0.339,0.184
Milly Ha Ha GB,0,0,0.376,0.195
Galanty Show GB,1.66,0.962,0.581,0.439
La Riveraine (USA),1.937,3.885,0.288,0.208
Gravieres (FR),2.583,0.994,0.68,0.524
Subtle One (IRE),0,0,0.336,0.197
Amaranthus GB,0,0,0.536,0.393
Bemuse GB,0.581,0.301,0.652,0.502
Concert GB,0,0,0.42,0.262
Curlew Calling (IRE),0.646,0.559,0.487,0.318
Jennelle GB,1.516,1.503,0.548,0.389
Simple Logic GB,0,0,0.426,0.247
Premiere Cuvee GB,0,0,0.224,0.052
Broad Haven (IRE),0,0,0.354,0.161
Donostia GB,0,0,0.389,0.167
Georgia Stephens (USA),0,0,0.325,0.176
Christian Church (IRE),0,0,0.485,0.327
Alignment (IRE),1.056,0.788,0.488,0.322
Genoa GB,0,0,0.46,0.299
Forest Maid GB,0.83,0.971,0.611,0.407
Clan Scotia GB,2.641,1.439,0.61,0.52
Farhana GB,0,0,0.511,0.341
Thatchabella (IRE),0,0,0.265,0.135
Dunfern GB,1.788,1.012,0.5,0.385
Nice Spice (IRE),0,0,0.118,0.034
Brunswick GB,1.453,1.177,0.567,0.415
Snoozy GB,0,0,0.437,0.239
Sherabi (IRE),0,0,0.32,0.161
Maria Isabella (FR),1.937,1.048,0.61,0.479
Travelling Lady GB,0,0,0.593,0.408
Theresita (GER),0,0,0.465,0.258
Sancta GB,0,0,0.127,0.06
Grace Browning GB,0,0,0.523,0.329
Raja Moulana GB,0,0,0.435,0.269
ShantungI (IRE),0,0,0.019,0.001
Salvezza (IRE),1.937,0.827,0.587,0.438
Fair Kai (IRE),0,0,0.558,0.36
Laser Light Lady GB,0.775,0.845,0.306,0.196
Quite Happy (IRE),0,0,0.292,0.193
Jamie De Vil (USA),0,0,0.236,0.103
Simply Style GB,0,0,0.132,0.038
Mettlesome GB,0.894,0.759,0.471,0.289
Miss Runaway GB,0,0,0.417,0.181
Happy Lady (FR),1.937,1.172,0.606,0.476
Lozzie GB,0.775,0.897,0.544,0.374
St Clair GB,0,0,0.253,0.1
Polish Socialite (USA),0,0,0.442,0.301
My Mariam GB,0.528,0.598,0.43,0.268
One So Wonderful GB,0,0,0.42,0.203
Delphic Way GB,1.056,0.87,0.632,0.48
Narva GB,0,0,0.388,0.268
Eden (IRE),1.66,1.52,0.523,0.336
On Request (IRE),0,0,0.494,0.315
Howlin (USA),0,0,0.505,0.326
Racing Brenda GB,0,0,0.211,0.075
Princess Moodyshoe GB,0,0,0.077,0.024
Elba (IRE),0,0,0.329,0.227
Kinchenjunga GB,0,0,0.263,0.141
Fine Drapes GB,2.113,1.401,0.544,0.446
Empire Glory (ARG),0,0,0.857,0.735
Bridevalley GB,3.874,1.759,0.638,0.517
In My View GB,0,0,0.719,0.539
Ardeal GB,0,0,0.429,0.184
Chancers Last GB,0,0,0.286,0.082
Shelleys Lark GB,0,0,0.143,0.02
Soulful GB,0,0,0,0
Lady Owenette (IRE),3.874,1.694,0.489,0.406
Clova GB,0,0,0.417,0.347
Cindercombe GB,0,0,0.5,0.25
Letshaveaparty (IRE),0,0,0,0
Sea Farmer GB,0,0,0.5,0.25
Praise The LordI GB,0,0,0.409,0.243
Prime Mistress GB,0,0,0.5,0.25
Death Or Glory GB,0,0,0.504,0.275
Over The Pond (IRE),0,0,0.118,0.056
Sule Skerry GB,5.811,2.632,0.55,0.51
Pearly Dream GB,0,0,0.667,0.444
Imperial ButterflyI (IRE),0,0,0.187,0.092
Inga Murphy (IRE),0,0,0.5,0.25
Villawood GB,0,0,0.417,0.174
Candora GB,0,0,0.333,0.111
Joyau (IRE),0,0,0,0
Silver Cirrus GB,0,0,0,0
Taras Dream GB,0,0,0.048,0.005
Taradale GB,3.874,1.281,0.641,0.617
Beaus Trout GB,0,0,0.833,0.694
Sabrata (IRE),5.282,2.36,0.87,0.781
Granny Grumble GB,0,0,0.333,0.111
Little Katrina GB,0,0,0.275,0.196
Dance Skirt (CAN),0,0,0.091,0.008
Rhiann GB,0,0,0,0
Quiche GB,1.55,2.077,0.439,0.28
Uhud (IRE),0,0,0.37,0.212
Bold Threat (CAN),1.937,0.83,0.595,0.418
Cairo Lady (IRE),0,0,0.266,0.152
Entail (USA),0,0,0.326,0.169
Gay Fantasy GB,0,0,0.846,0.716
Mine DOr (FR),0,0,0.434,0.276
Dolly Bevan GB,1.162,1.161,0.514,0.347
Dioscorea (IRE),0.684,0.482,0.587,0.421
Lady Of The Realm I GB,0,0,0.618,0.411
Shebasis (USA),0,0,0.233,0.082
Joyfullness (USA),0,0,0.481,0.275
CEst Egal (IRE),0,0,0.297,0.19
Thrilling Day GB,0,0,0.567,0.42
Kristals Paradise (IRE),0,0,0.321,0.112
Theyrplayinoursong (USA),0,0,0.337,0.151
Polytess (IRE),0,0,0.706,0.517
Lesgor (USA),2.905,9.264,0.377,0.291
Lloc GB,0,0,0.45,0.205
Ridgewood Ruby (IRE),0,0,0.267,0.102
Haramayda (FR),1.55,1.04,0.683,0.521
Panienka (POL),0.968,0.765,0.675,0.486
Clear Ahead GB,0,0,0.508,0.327
La Alla Wa Asa (IRE),0,0,0.343,0.172
High Finish GB,0,0,0.307,0.151
Astern (USA),0.775,0.67,0.554,0.389
Now And Forever (IRE),3.169,0.974,0.67,0.556
Minstrelina (USA),0,0,0.316,0.144
Ride Bold (USA),0,0,0.381,0.212
Cottage Maid GB,1.66,1.036,0.614,0.441
Lady Helen (IRE),0,0,0.175,0.061
Be My Wish GB,0,0,0.177,0.031
Bunny Gee GB,3.486,2.796,0.649,0.565
Madly Noble (GER),0,0,0.516,0.367
Big Story GB,1.788,1.263,0.603,0.442
Krasivi (USA),0,0,0.513,0.301
Just Warning GB,0,0,0.399,0.212
All The Time GB,2.324,2.818,0.551,0.362
Coupled GB,0,0,0.415,0.209
Nawaji (USA),3.486,1.555,0.682,0.579
Blue Sioux GB,1.55,1.188,0.747,0.622
Moonlight Partner (IRE),0,0,0.319,0.103
Rustic Lawn GB,0.726,0.8,0.53,0.371
Fabulous Night (FR),0,0,0.086,0.017
Promising Lady GB,0,0,0.398,0.189
Moon Goddess GB,0,0,0.182,0.033
Le Montrachet GB,0,0,0.277,0.128
Boomerang Blade GB,0,0,0.336,0.188
Roisin Clover GB,0,0,0.665,0.493
Search Party GB,0,0,0.541,0.354
Riviere Rouge GB,0.484,0.395,0.487,0.336
Abbeys Gal GB,3.169,1.563,0.781,0.672
Romanche (FR),0,0,0.469,0.269
