dam,IV,A/E,PRB,PRB2
Muckross Park GB,0,0,0.455,0.254
Annies Travels (IRE),0,0,0.226,0.06
Come Together GB,0,0,0.4,0.217
Nancy Maloney (IRE),0.83,0.842,0.476,0.338
Barinia GB,0,0,0.303,0.134
Elite Number (USA),1.367,1.673,0.27,0.167
Darshay (FR),0.528,0.66,0.454,0.296
Plessaya (USA),1.585,0.92,0.643,0.522
Summit Talk GB,2.324,2.08,0.621,0.474
Clarentia GB,1.66,0.867,0.658,0.51
Marina Plata GB,0,0,0.569,0.396
Alasana (IRE),2.583,1.739,0.588,0.437
Ridge Pool (IRE),0,0,0.496,0.322
Salarya (FR),0,0,0.513,0.37
Sherannda (USA),2.179,1.243,0.604,0.461
Princess Of Dance (IRE),0,0,0.417,0.224
My Dear Watson I GB,0,0,0.452,0.295
Harrken Heights (IRE),0.465,0.994,0.376,0.236
Mary Magdalene GB,1.937,2.069,0.458,0.34
Guest List GB,0,0,0.384,0.222
Ghassanah GB,0,0,0.088,0.013
Aybeegirl GB,1.66,0.763,0.582,0.439
Flambera (FR),5.165,3.192,0.704,0.625
Shirley Valentine GB,2.447,1.203,0.767,0.646
Jungle Rose GB,2.324,1.69,0.727,0.591
Shadows Of Silver GB,1.291,0.827,0.603,0.458
Snowline GB,0.375,0.364,0.455,0.29
Nomadic Dancer (IRE),0,0,0.441,0.225
Grey Galava GB,1.09,0.805,0.586,0.435
Santarene (IRE),2.113,1.24,0.398,0.268
Seasonal Splendour (IRE),0.465,0.648,0.448,0.318
Million Heiress GB,1.291,1.066,0.593,0.417
Likely Story (IRE),0.612,0.528,0.4,0.243
Manuetti (IRE),0.684,0.533,0.445,0.261
Fancy Flight (FR),1.056,0.919,0.429,0.284
Balakhna (FR),1.743,1.175,0.627,0.44
Fragrant Oasis (USA),1.011,0.77,0.531,0.36
Roberts Pride GB,0.775,0.464,0.521,0.369
Dona Filipa GB,0.505,0.372,0.545,0.356
Semperflorens GB,1.291,1.258,0.715,0.549
La Belle VieI GB,1.291,1.036,0.443,0.323
La Belle Katherine (USA),3.228,1.744,0.713,0.598
Bollin Harriet GB,0.894,0.68,0.58,0.392
Time For Tea (IRE),2.905,3.01,0.652,0.489
Taza GB,2.905,1.723,0.648,0.505
Saint Ann (USA),0.894,2.225,0.284,0.152
Darussalam GB,3.874,2.641,0.614,0.5
Femme Femme (USA),2.324,4.322,0.35,0.24
Hunters Of Brora (IRE),1.107,0.947,0.567,0.416
Lon Isa GB,2.113,3.281,0.466,0.348
Bold Avril (IRE),0,0,0.491,0.294
Questionable GB,1.788,1.626,0.525,0.389
Neat Shilling (IRE),0.942,0.795,0.544,0.375
Hotel California (IRE),1.66,1.383,0.44,0.323
Love And Kisses GB,0,0,0.568,0.415
Vaguely Regal (IRE),0,0,0.283,0.141
Council Rock GB,2.051,1.44,0.574,0.423
Freddies Recall GB,0,0,0.31,0.114
Preference GB,2.49,1.366,0.684,0.54
In Love Again (IRE),1.743,1.821,0.514,0.346
Ervedya (IRE),1.056,1.302,0.425,0.285
Zephyrine (IRE),0,0,0.347,0.195
Daira GB,0.646,0.921,0.467,0.328
Shamriyna (IRE),0.612,0.487,0.473,0.344
Seren Quest GB,0,0,0.567,0.39
Idraak GB,0,0,0.408,0.262
Villafranca (IRE),0.83,0.541,0.565,0.372
Bebe De Cham GB,0,0,0.465,0.29
Barsham GB,0.684,0.59,0.482,0.334
Proud Titania (IRE),0,0,0.531,0.334
Toi Toi (IRE),1.162,2.324,0.342,0.188
Puce GB,1.162,0.747,0.415,0.225
Groom Dancing GB,0,0,0.264,0.156
Aymara GB,0,0,0.395,0.234
Pohutakawa (FR),1.453,0.499,0.73,0.636
Branston Express GB,0,0,0.438,0.235
Ma Biche (USA),0,0,0.089,0.011
Pecan Pie (IRE),1.162,1.472,0.41,0.289
Approved Quality (IRE),1.107,1.348,0.398,0.253
Judys Girl I (IRE),0.646,0.498,0.55,0.365
Festive Season (USA),0.375,0.255,0.594,0.427
Kintara GB,0,0,0.361,0.185
Sandblaster GB,2.113,1.511,0.551,0.397
Oklahoma GB,0,0,0.231,0.087
Lucky Dip GB,0.505,0.654,0.418,0.251
Triple Concerto GB,0,0,0.318,0.211
Lyrical Vision (IRE),0,0,0.648,0.48
Shalerina (USA),1.367,1.282,0.517,0.392
Salva GB,2.905,2.098,0.68,0.543
Ruacana Falls (USA),3.418,1.251,0.719,0.597
Classic Ring (IRE),1.056,0.884,0.518,0.356
Petra Nova GB,0.484,0.316,0.684,0.508
Chantilly (FR),0,0,0.569,0.359
Felinwen GB,0,0,0.496,0.347
Pips Way (IRE),0,0,0.194,0.064
Lady Magician GB,0.894,1.33,0.363,0.221
Lambast GB,0.684,0.511,0.393,0.23
Hotel Street (USA),0,0,0.388,0.223
Shanjah GB,0,0,0.298,0.158
Compact Disc (IRE),0.646,0.626,0.389,0.224
Sham Street (USA),5.811,2.576,0.65,0.59
Magdalene (FR),2.113,1.367,0.464,0.336
Sawaki GB,0,0,0.138,0.04
Thieves Welcome GB,0,0,0.305,0.125
Danseur Fabuleux (USA),7.748,1.714,0.667,0.667
Steadfast Elite (IRE),0,0,0.569,0.437
Aquaba (USA),0.968,0.706,0.617,0.456
Warning Star GB,0.894,0.808,0.406,0.286
Stage Manner GB,0,0,0.421,0.241
Bee-Bee-Gee (IRE),0,0,0.287,0.147
Berenice (ITY),1.395,1.038,0.51,0.341
Acicula (IRE),0,0,0.185,0.07
Purse GB,0,0,0.071,0.015
Its So Easy GB,3.874,1.934,0.764,0.639
Penang Pearl (FR),0,0,0.278,0.125
Cole Slaw GB,0,0,0.396,0.228
Arjan (IRE),0,0,0.354,0.162
Lucky Thing GB,1.202,1.024,0.51,0.375
Calachuchi GB,0.528,0.387,0.619,0.469
Lucky Flinders GB,0.553,0.388,0.567,0.435
Boulevard Rouge (USA),0.612,0.698,0.55,0.39
Fleet Key GB,0,0,0.321,0.163
Woodyoubelieveit (USA),1.453,0.918,0.401,0.221
Kaliana (IRE),0,0,0.171,0.069
Party Treat (IRE),0,0,0.333,0.203
Tiffanys Case (IRE),0.684,0.925,0.551,0.36
Buddy And Soda (IRE),1.57,1.224,0.57,0.444
Do The Right Thing GB,0.775,0.672,0.562,0.37
Prim Lass GB,0.581,0.415,0.553,0.363
Sally Chase GB,0,0,0.592,0.409
Frighten The Life GB,0.968,0.864,0.656,0.481
Rose Mill GB,0,0,0.404,0.224
Desert Lynx (IRE),2.26,1.136,0.613,0.488
