jockey,IV,A/E,PRB,PRB2
Mark Bolger,1.056,0.843,0.531,0.367
Mr C M Murphy,0,0,0.51,0.363
Mr P J Casey,0,0,0.393,0.22
J P Murphy,1.056,1.488,0.468,0.292
S P McCann,0.456,0.758,0.36,0.211
Mr J O Finnegan,0,0,0.488,0.29
Mr P G Murphy,1.107,0.589,0.561,0.424
Mr K Mockler,0,0,0.466,0.248
Mr P M Byrne,0,0,0.415,0.221
Mr D Kelly,0,0,0.36,0.197
M A Cleere,0,0,0.436,0.271
Mr K McCrossan,0,0,0.214,0.046
Keith Maher,0.517,0.602,0.443,0.292
S Q Raza,0,0,0.376,0.186
M A Phillips,0,0,0.387,0.246
Elizabeth Sheehan,1.025,0.993,0.546,0.408
Karen Kenny,0,0,0.207,0.07
Ella Marie Fitzgerald,0,0,0.419,0.197
D Quigley,0,0,0.154,0.04
Mr C P McNally,0,0,0.216,0.099
W J Cafferty,0.704,0.97,0.433,0.263
Mr J J King,0.43,0.443,0.533,0.384
M OConnor,0,0,0.25,0.123
Mr D M Duggan,0,0,0.567,0.418
Mr J M Burke,0,0,0.588,0.397
Mr P T Murphy,0,0,0.083,0.014
Mr G Hassett,0,0,0.196,0.07
Mr J M Cahill,0,0,0.376,0.192
Rob McCarth,0,0,0.435,0.229
Mr W Hayes,0,0,0.091,0.008
Caroline Moody,0,0,0.143,0.041
A J Grange,0,0,0.179,0.036
Mr R J Egan,0,0,0.401,0.164
Mr N McParlan,1.291,1.393,0.447,0.35
Mr D J English,0,0,0.322,0.224
Mr T J Beattie,0,0,0.223,0.058
Kieran ONeill,0,0,0.4,0.221
K F McDonagh,0,0,0.484,0.338
Mrs Pauline Condon,0.968,0.825,0.673,0.501
Mr C J Murray,1.291,2.474,0.448,0.312
Mr R J Hume,0,0,0.468,0.244
Mr D P Coakley,0,0,0.308,0.095
S P Wilson,0,0,0.459,0.273
P D Nolan,0,0,0.226,0.087
Frances Kelly,0,0,0.45,0.205
Miss J Geraghty,0.684,0.754,0.439,0.314
Mr B M Walsh,0,0,0.339,0.147
Brian OConnell,0.646,0.775,0.468,0.315
Derek McCormack,0.197,0.333,0.305,0.164
Mr A A Howard,0,0,0.273,0.134
Mr J C Rogers,0,0,0.5,0.25
Oliver Casey,0,0,0.393,0.181
Conor Maxwell,0,0,0.434,0.234
Ms K Ferris,0,0,0.295,0.168
Miss L C Williams,0.775,0.541,0.624,0.445
Miss M M Gannon,0.484,0.769,0.468,0.282
Miss S J Leahy,0,0,0.291,0.116
Miss E Byrne,0,0,0.083,0.007
Mairead McGrath,0,0,0.222,0.128
Mr S L Wrynn,0,0,0.392,0.16
Mr J O McGrath,0,0,0.345,0.269
Mr E Norris,0,0,0.429,0.236
Mr A Walker,0,0,0.474,0.224
Mr S P Tynan,0,0,0.16,0.039
W O Callaghan,0,0,0.454,0.279
Miss D Ryan,0,0,0.408,0.256
Ms C Hutchinson,0,0,0.476,0.273
Miss D Duggan,0,0,0.356,0.188
Miss M McArdle,0,0,0.302,0.12
Miss L Murphy,0,0,0.537,0.403
Miss G M OCallaghan,0,0,0.088,0.016
Miss M D Cox,0,0,0.22,0.062
Mr M J Walsh,0.553,0.833,0.555,0.382
Robbie McNamara,0.637,0.666,0.567,0.402
Mr P Tobin,0,0,0.526,0.348
Mr A P Keatley,0,0,0.19,0.051
C I Goodwin,0,0,0.424,0.232
Richie McLernon,0,0,0.416,0.218
Mr T M Cleary,0,0,0.487,0.331
Mr T P OKeeffe,0,0,0.417,0.174
Mr G OLoughlin,0,0,0.111,0.014
Mr T P Hyde,2.324,0.72,0.527,0.438
D A Murphy,1.788,1.626,0.499,0.341
Mr D C OConnor,0,0,0.537,0.358
Mr B J OConnor,0,0,0.311,0.138
Declan Cannon,0,0,0.441,0.25
Mr P T Foley,0,0,0.279,0.099
Mr J G Sheehan,0,0,0.369,0.183
Martin Burke,0,0,0.352,0.174
Mr S O OBrien,0,0,0.609,0.399
Mr D J Foster,0,0,0.412,0.305
Mr B Cosgrove,0,0,0.179,0.034
Mr E Gallagher,0,0,0.263,0.069
Mr S M ODonovan,0,0,0.389,0.306
Mr J W Hannon,0,0,0.584,0.378
Mr L J Donnelly,0,0,0.115,0.019
James Sullivan,0,0,0.41,0.221
S J Williams,0,0,0.378,0.193
Miss E Connolly,0,0,0.393,0.189
Miss J Tyrrell,0,0,0.091,0.008
Miss D ONeill,0,0,0.267,0.099
Mr M J Scallan,0,0,0.494,0.307
Mr S M ODonoghue,0,0,0.486,0.289
Mr M D Hickey,0,0,0.548,0.364
Andrew Coonan,0,0,0.372,0.22
Mr M A Cahill,0,0,0.447,0.277
Mr A J Hogan,0,0,0.495,0.351
V T Keane,0,0,0.477,0.302
D Mason,0,0,0.232,0.113
J J Mullins,0,0,0.23,0.079
Michael T Doyle,0,0,0.526,0.277
I Browne,0,0,0.312,0.175
Sean Levey,0.726,0.383,0.533,0.348
Mr T D Carberry,0,0,0.585,0.372
Mrs J Delahunt,0,0,0.577,0.354
J F De Sousa,0,0,0,0
Mr M F Hassett,0,0,0.351,0.138
K Schous,3.874,4.006,0.511,0.409
A Hatta,0.775,1.187,0.512,0.313
Miss C Cashman,0,0,0,0
A Aldubaili,0,0,0.178,0.041
Damien Moran,1.937,2.236,0.378,0.227
Paddy Kennedy,0,0,0.555,0.39
Mr T Addis,0,0,0.167,0.056
Katie McManmon,1.056,1.577,0.543,0.365
K Keogh,0,0,0.33,0.138
Gabriele Congiu,0,0,0.429,0.367
Paolo Sirigu,0,0,0.786,0.617
Fabien Lefebvre,0,0,0.714,0.51
Steeve Devesse,0,0,0.643,0.413
G Virdis,0,0,0.5,0.25
Nicola Pinna,0,0,0.429,0.184
Maxime Le Galliard,0,0,0.357,0.128
M F Sutton,0,0,0.217,0.049
F J Flood,1.55,0.777,0.444,0.311
Mr James John Ryan,0,0,0.342,0.187
Mr S Keating,0,0,0.165,0.069
Mr D N Kiernan,1.937,2.893,0.53,0.365
Mr S C Burke,0,0,0.367,0.156
Mr P J A Casey,0,0,0.379,0.173
Mr E F Linehan,0,0,0.371,0.223
Mr P McNeilly,0,0,0.518,0.328
Mr M P McCabe,0,0,0.429,0.184
Mrs A Lee,0,0,0.592,0.416
Miss J E Kidd,0,0,0.386,0.183
Miss C Brennan,0,0,0.357,0.128
Miss A S Parkes,0,0,0.095,0.014
Ms Sinead OKeeffe,0,0,0.09,0.015
Miss Seonaid Renton,0,0,0.332,0.132
Miss Diane Duffy,0,0,0,0
Mr Thomas Coyle,0,0,0.347,0.186
Mr G J McGoldrick,0,0,0.214,0.046
Mr D B Cooper,0,0,0.267,0.139
Mr F Windsor Clive,0,0,0.384,0.227
Mr P A King,0,0,0.364,0.222
Mr N Halley,0,0,0.282,0.079
A P Fagan,0.465,0.587,0.463,0.316
L J Fleming,0.505,0.573,0.407,0.269
Mr W G Rankin,1.937,2.452,0.536,0.33
Mr P McAleese,0,0,0.723,0.54
Mr M J Henry,0,0,0.25,0.125
Mr L J Gracey,0,0,0.504,0.259
Miss H L Kelly,0,0,0.313,0.127
Miss Holly Curran,0,0,0.139,0.039
P E Ryan,0,0,0.242,0.106
G Martin,0,0,0.268,0.095
Mr C Tully,0,0,0.887,0.79
Mr P Duggan,0,0,0.283,0.173
Mr R M McCaul,0,0,0.309,0.121
Mr S McCullagh,0,0,0.368,0.136
Mr J J Canavan,0,0,0.026,0.001
Miss H J Bolger,0,0,0.333,0.111
Mr B J Donovan,0,0,0.222,0.049
Mr J G Widger,0,0,0.556,0.309
Mr P C Greeves,0,0,0.473,0.349
Miss C J McMahon,0,0,0.875,0.766
Mr M M OConnor,0,0,0.444,0.351
Mr C McCavana,0,0,0.75,0.562
Mr G A Neilan,0,0,0.473,0.314
Darren Nagle,0,0,0.654,0.429
Mr H Shearman,0,0,0.059,0.007
John Tobin,0,0,0.359,0.204
Mr P J Crowley,1.788,2.077,0.382,0.27
Mr F P Cunningham,0,0,0.412,0.288
Mr J A Collins,0,0,0.176,0.031
Miss L Dowdall,0,0,0.476,0.227
Mr A Fleming,0,0,0.371,0.214
K T Hogan,0,0,0.058,0.01
Brian Hayes,0,0,0.58,0.361
Mr P J ONeill,0,0,0.297,0.187
Aodhagan Conlon,0,0,0.254,0.088
Mr E D Reilly,0,0,0.19,0.036
M P Snee,0,0,0,0
Cathal Landers,0,0,0.471,0.221
Mr Michael J Murphy,0,0,0.564,0.326
Miss K L Ayre,0,0,0.255,0.065
Mr P Magee,0,0,0.282,0.086
Mr S McMahon,0,0,0.138,0.019
D M Somers,0,0,0.129,0.018
Mr J King,0,0,0.65,0.478
Mr Daniel Keenan,0,0,0.161,0.049
M P Fahy,0,0,0.206,0.063
Charles Greene,0,0,0.345,0.132
Mr M C Grassick,0,0,0.444,0.198
Mr C J Warren,0,0,0.294,0.087
Mr M Noone,0,0,0.366,0.173
Tracie Jade Harvey,0,0,0.114,0.013
Mr R J Tierney,1.056,1.139,0.538,0.432
Shane Butler,0,0,0.342,0.176
Miss R Harney,0,0,0.66,0.47
Mr P J Hayes,0,0,0.088,0.016
Tony Kelly,0,0,0.625,0.391
Adam ONeill,0,0,0.3,0.148
Mr J D Dullea,0,0,0.2,0.04
Mr B J Kelly,0,0,0.464,0.314
Mr P M Cloke,0,0,0.368,0.136
Mr M C Flannery,0,0,0.938,0.879
Mr B OSullivan,0,0,0.434,0.273
Mr B O Walsh,0,0,0.322,0.163
Mr J A Griffin,0,0,0.283,0.127
Miss K J Harrison,0,0,0.5,0.34
Mr N B Durkan,0,0,0.471,0.221
Mr S McHugh,0,0,0.722,0.522
Miss S McDonogh,0,0,0.329,0.257
Miss A OBrien,0,0,0.495,0.311
Miss R ONeill,0,0,0.407,0.281
Mr M O Quigley,0,0,0.1,0.02
Mr C T Kidd,0,0,0.235,0.055
Miss D Pierce,0,0,0.6,0.36
Miss R McCann,0,0,0.5,0.25
J G Brennan,0,0,0.557,0.365
Mr D J Cullen,0,0,0.5,0.253
Mr J P Butler,0,0,0.085,0.011
Miss S Lang,0,0,0.24,0.063
Mr S Clancy,0,0,0.353,0.125
Sean Flanagan,0,0,0.538,0.304
Mr E C Tobin,0,0,0.146,0.036
Mr J P Dowling,0,0,0.308,0.1
Mr P N Collins,0,0,0.415,0.194
Mr J G Bennett,0,0,0.089,0.024
Mr J Conheady,0,0,0.135,0.023
T A Naughton,0,0,0.122,0.023
C Durden,0,0,0,0
Philip Dempsey,0,0,0.25,0.125
Mr R W Manton,0,0,0.294,0.087
Miss S J Harty,0,0,0.333,0.111
J H Maguire,0,0,0.219,0.067
Robbie Egan,0,0,0.059,0.003
Mr B D ONeill,0,0,0.111,0.012
Ian McCarthy,0,0,0.074,0.016
Mr D J OConnell,0,0,0.413,0.193
Mr D Halley,0,0,0.062,0.004
Mr W J Farrelly,0,0,0,0
Mr C Walsh,0,0,0.571,0.327
Mr M G Coleman,0,0,0.246,0.064
Mr J M Earls,0,0,0.067,0.009
Mr J Beamish,0,0,0.625,0.391
Miss J Foley,0,0,0.133,0.018
Mr E P Wickham,0,0,0.857,0.735
Mr P W Mullins,0,0,0.641,0.43
Mr P D Collins,0,0,0.286,0.082
Mrs G Daly,0,0,0,0
Ms M Sullivan,0,0,0.462,0.426
Miss A Gallagher,0,0,0.615,0.379
Mr E Lynch,0,0,0.186,0.046
Mr D W Macauley,0,0,0.143,0.02
Mr G J Harford,0,0,0.154,0.024
Mr R P Geoghegan,0,0,0.079,0.012
T Gibney,0,0,0.553,0.401
D Carey,0,0,0.24,0.063
Miss A H McDonogh,0,0,0.27,0.1
J M Delaney,0,0,0.2,0.04
Mr Shane Joseph Kelly,0,0,0.099,0.011
Mr F J Coonan,0,0,0.118,0.014
Mr J Halley,0,0,0.85,0.723
Mr A M Keane,0,0,0.75,0.562
Mr P Osborne,0,0,0.05,0.005
Mr M P Reay,0,0,0.917,0.84
R D Jones,0,0,0.023,0.001
Miss S Gavin,0,0,0.19,0.036
I G Grant,0,0,0.136,0.019
Miss T Doran,0,0,0.318,0.101
Mr J M Cullen,0,0,0.052,0.003
Mr P E I Newell,0,0,0.412,0.17
Mr J L Wilkinson,0,0,0.059,0.003
Mr E J Raher,0,0,0.279,0.127
Mr C J Swords,0,0,0.292,0.085
Mr W F Codd,0,0,0.692,0.479
Mr J Cash,0,0,0.333,0.222
Miss Rachel McGuigan,0,0,0,0
J D ONeill,0,0,0.292,0.085
Mr D OHalloran,0,0,0,0
Mr J J Sheridan,0,0,0.043,0.002
Mr B D Duggan,0,0,0.174,0.03
Mr D L Mulcaire,0,0,0.153,0.028
Miss K A Martin,0,0,0.5,0.25
D A M Kelly,0,0,0,0
Mr L Corbally,0,0,0.036,0.003
Miss M A Dagg,0,0,0.375,0.141
Mr D Gannon,0,0,0.438,0.207
Mr M J Doran,0,0,0.071,0.005
Miss S Cox,0,0,0,0
Declan OShea,0,0,0,0
Mr D P Nagle,0,0,0.727,0.529
Mr D F Bourke,0,0,0.176,0.031
M G Cleary,0,0,0.615,0.379
Miss M L Hallahan,0,0,0.8,0.64
Mr N W ONeill,0,0,0.286,0.082
A C Browne,0,0,0.385,0.148
Mr C Dunne,0,0,0.286,0.082
Mr E F Gallagher,0,0,0.286,0.082
Miss D M OShea,0,0,0.429,0.184
Mr B P Walsh,0,0,0.5,0.25
Mr D F Barry,0,0,0.211,0.044
Miss P M Lalor,0,0,0.105,0.014
Mr K T Foy,0,0,0.395,0.312
Mr A Ryan,0,0,0.065,0.009
Mr J Halligan,0,0,0,0
G J Lawlor,0,0,0,0
Miss B J McEvoy,0,0,0,0
Mr Damien Skehan,0,0,0.474,0.224
Mr B Slattery,0,0,0,0
Mr M G Purcell,0,0,0.947,0.898
David Splaine,0,0,0.421,0.177
Mr R B Tyner,0,0,0.048,0.002
Mr D M Spillane,0,0,0.167,0.028
Mr J M OConnor,0,0,0,0
Mr Philip Thomas,0,0,0.364,0.132
Miss I Kohlweiss,11.621,4,1,1
Alison Edel Kelly,0,0,0,0
