horse,IV,A/E,PRB,PRB2
Malt De Vergy (FR),5.811,1.739,0.849,0.754
Its Bertie (GB),0,0,0.674,0.481
Brave Rebellion (GB),3.32,1.316,0.892,0.805
Monsieur Delage (GB),0,0,0.472,0.376
Thats Rhythm (FR),0,0,0.578,0.334
Rathowen (IRE),0,0,0.659,0.486
Fencote Gold (GB),0,0,0.303,0.099
Lanhel (FR),0,0,0.226,0.096
Roseberry Rose (GB),0,0,0.056,0.006
Simonstown (GB),0,0,0.028,0.002
Pebble Bay (GB),4.649,1.906,0.747,0.701
Blackergreen (GB),0,0,0.715,0.607
Count The Cost (IRE),3.874,1.726,0.919,0.848
Piraeus (NZ),3.32,2.349,0.775,0.631
Flowing River (IRE),0,0,0.48,0.311
Roses Are Wild (IRE),0,0,0.202,0.11
Ringside Jack (GB),0,0,0.473,0.339
Commemoration Day (IRE),0,0,0.391,0.212
Pottsys Joy (GB),0,0,0.261,0.152
Political Cruise (GB),0,0,0.48,0.301
Wave Back (IRE),3.874,3.252,0.688,0.549
Litzinsky (GB),2.324,3.005,0.367,0.272
Schoodic Point (IRE),0,0,0.167,0.043
Wally Wonder (IRE),2.905,2.217,0.629,0.518
Macreater (GB),1.162,1.609,0.548,0.406
Lady Stratagem (GB),0,0,0.269,0.173
Magic Bengie (GB),0,0,0,0
Mags Two (GB),2.324,1.995,0.527,0.439
Killoch Place (IRE),0,0,0.077,0.018
Double Royal (IRE),0.894,0.782,0.514,0.385
Mighty Fine (GB),3.32,2.092,0.775,0.651
Mexican (USA),0.968,0.628,0.615,0.432
Silk Trader (GB),0,0,0.339,0.158
Galway Breeze (IRE),0,0,0.434,0.267
Aelred (GB),1.453,2.361,0.373,0.231
Sands Rising (GB),1.291,0.943,0.569,0.409
Clouding Over (GB),3.169,1.219,0.697,0.618
Bridge Pal (GB),0,0,0.554,0.367
Dis Dilemma (GB),0,0,0.776,0.622
Posh Stick (GB),2.324,1.551,0.71,0.597
Ameras (IRE),0,0,0.589,0.407
Longstone Lass (GB),2.734,2.426,0.534,0.4
Private Jessica (GB),0,0,0.459,0.256
Lady Past Times (GB),1.66,2.617,0.555,0.39
Thornbird Lass (GB),0,0,0.355,0.144
Casterflo (GB),1.291,1.543,0.471,0.348
High Class Pet (GB),0,0,0.229,0.132
Alpha Juliet (IRE),0,0,0.39,0.272
Cool Cossack (IRE),5.811,2.842,0.819,0.731
Thyne Man (IRE),0,0,0.551,0.418
Il Cavaliere (GB),0,0,0.605,0.487
Glensan (IRE),0,0,0.445,0.298
Charlies Memory (GB),0,0,0.421,0.268
Dark Shadows (GB),0,0,0.166,0.072
Dumadic (GB),1.66,1.107,0.539,0.427
Black Bob (IRE),0,0,0,0
Cottage Hill (GB),0,0,0,0
Mad Max Too (GB),0,0,0.088,0.038
Factor Fifteen (GB),0,0,0.933,0.871
Wiscalitus (GER),0,0,0.621,0.453
Our Jasper (GB),0,0,0.46,0.296
Rajam (GB),4.358,1.879,0.637,0.513
Mr Prickle (IRE),0,0,0.58,0.345
Starmix (GB),0,0,0.33,0.156
Can Can Flyer (IRE),0,0,0.233,0.093
Jack White (GB),0,0,0.192,0.08
Fleetfoot Mac (GB),0,0,0.283,0.114
Culbann (IRE),0,0,0.224,0.08
Bougoure (IRE),5.811,1.859,0.943,0.893
Danian (IRE),0,0,0.733,0.556
Amalfi Storm (GB),0,0,0.649,0.51
Flemingstone (IRE),0,0,0.609,0.387
Im Your Man (GB),0,0,0.407,0.238
Batties Den (IRE),0,0,0.453,0.225
Arctic Minster (GB),0,0,0.763,0.61
Tiger Johnny (GB),0,0,0.363,0.201
Scotmail Too (IRE),0,0,0.509,0.283
Night Pearl (FR),0,0,0.284,0.101
Eltringham (GB),0,0,0.267,0.071
Tims Moll (GB),0,0,0.212,0.073
Rosina Copper (GB),0,0,0.044,0.006
Theatre Rights (IRE),0,0,0.104,0.033
I Got Rhythm (GB),1.937,1.032,0.646,0.506
Spiders Web (GB),0,0,0.501,0.326
Lewis Island (IRE),0,0,0.43,0.272
Lord Of The Land (GB),0,0,0.449,0.282
Altitude Dancer (IRE),3.099,1.779,0.711,0.579
Lone Soldier (FR),1.291,1.453,0.61,0.438
Protocol I (IRE),0.894,0.989,0.565,0.366
Royal Exposure (IRE),0,0,0.311,0.185
Awaken (GB),1.291,1.836,0.63,0.467
Caterham Common (GB),0,0,0.228,0.117
Prince Of Slane (GB),1.66,0.768,0.548,0.445
Roman Way (GB),0,0,0.449,0.272
Mikasa (IRE),0.775,0.52,0.486,0.352
Sally Scally (GB),0,0,0.348,0.183
BenefitI (GB),1.937,1.33,0.528,0.387
Sea Maize (GB),0,0,0.338,0.162
Willie The Fish (IRE),1.937,1.215,0.423,0.326
Lord Attica (IRE),0,0,0.336,0.186
Motive (FR),1.66,0.679,0.692,0.577
Beamish Prince (GB),0,0,0.479,0.34
Love That Benny (USA),0,0,0.887,0.789
Terlan (GER),0,0,0.59,0.419
Red Cedar (USA),0,0,0.667,0.444
Lawgiver (IRE),1.937,1.569,0.816,0.693
Melmount Star (IRE),2.905,3.577,0.438,0.328
Kyber (GB),0,0,0.477,0.312
Lazy Lena (IRE),1.056,1.373,0.561,0.385
Patrixtoo (FR),0,0,0.231,0.107
Heroicus (NZ),0,0,0,0
Jealous Mead (IRE),0,0,0.143,0.061
