horse,IV,A/E,PRB,PRB2
Magical Romance (IRE),0,0,0.182,0.099
Cassydora (GB),3.874,1.697,0.785,0.672
Dream To Dress (USA),1.66,0.703,0.617,0.452
Fen Shui (UAE),0,0,0.263,0.139
Yeats (IRE),3.874,0.932,0.764,0.612
Alkaased (USA),3.874,1.235,0.849,0.735
Reefscape (GB),0,0,0.667,0.444
Pride (FR),0,0,0.548,0.445
Alkaadhem (GB),0,0,0.259,0.103
Eccentric (GB),5.811,3.379,0.818,0.733
Spring Goddess (IRE),1.66,2.158,0.494,0.388
Kew Green (USA),5.811,2.833,0.739,0.694
Tuning Fork (GB),0,0,0.121,0.033
Ridge Boy (IRE),0,0,0.709,0.574
Dark Cheetah (USA),0,0,0.509,0.364
Desert Imp (GB),1.66,1.213,0.469,0.322
Subyan Dreams (GB),2.905,1.203,0.41,0.301
Guildenstern (IRE),3.486,2.887,0.604,0.487
Mafaheem (GB),0,0,0.693,0.546
Dahteer (IRE),0,0,0.577,0.374
Rajwa (USA),0,0,0.308,0.095
Chief Exec (GB),0,0,0.453,0.272
Amazin (GB),1.056,0.813,0.427,0.299
Walk In The Park (IRE),0,0,0.614,0.499
Dubawi (IRE),2.905,0.74,0.853,0.735
Fracas (IRE),6.973,3.264,0.8,0.725
Unfurled (IRE),4.649,1.687,0.81,0.69
Grand Central (IRE),2.324,0.506,0.55,0.374
Kings Quay (GB),0,0,0.423,0.26
Fruit Of Glory (GB),2.583,2.347,0.65,0.512
Safari Sunset (IRE),0,0,0.398,0.212
Kerashan (IRE),3.32,1.825,0.773,0.689
King Malachi (IRE),1.66,0.478,0.622,0.488
Green Pride (GB),3.32,1.415,0.623,0.479
Scarlet Knight (GB),2.324,1.749,0.553,0.436
Royal Engineer (GB),3.874,1.898,0.648,0.483
Brunel (IRE),0,0,0.697,0.53
Pentecost (GB),1.66,1.799,0.423,0.294
Tungsten Strike (USA),1.937,1.36,0.661,0.547
Skylarker (USA),0,0,0.605,0.393
Wait For The Will (USA),0,0,0.451,0.291
Buy On The Red (GB),0,0,0.438,0.237
Pic Up Sticks (GB),1.162,1.417,0.478,0.309
Mine Behind (GB),2.905,3.573,0.407,0.333
Pure Fiction (GB),3.874,1.479,0.722,0.565
Bee Seventeen (USA),0,0,0.58,0.381
Zaharath Al Bustan (GB),0,0,0.757,0.606
Picture Show (USA),0,0,0.39,0.171
Starboard Light (GB),0,0,0.213,0.1
Grand Course (IRE),1.66,1.799,0.439,0.307
New Realm (USA),0,0,0.383,0.206
March Heir (USA),0,0,0.333,0.222
Burgundy (GB),1.743,1.242,0.73,0.586
Juste Pour LAmour (GB),0,0,0.511,0.309
Habanero (GB),2.905,1.7,0.657,0.561
Carry On Doc (GB),0,0,0.349,0.155
Swainson (USA),0,0,0.41,0.219
King Of Knight (IRE),1.056,0.901,0.547,0.388
Katiypour (IRE),3.099,2.122,0.765,0.64
Quantum Leap (GB),1.223,1.239,0.512,0.37
Bird Over (GB),4.649,2.143,0.741,0.61
Depressed (GB),2.905,1.6,0.744,0.599
Cree (GB),0.83,0.416,0.62,0.447
Dart Along (USA),1.453,0.91,0.507,0.34
Starduster (GB),1.162,0.518,0.589,0.426
Stolen Hours (USA),2.905,1.796,0.873,0.778
Blackmail (USA),1.937,0.998,0.696,0.56
Perfidious (USA),0.83,0.799,0.544,0.383
Most-Saucy (GB),0,0,0.309,0.126
Northside Lodge (IRE),0.968,0.682,0.532,0.373
Charleston Lover (GER),0,0,0.534,0.391
Jayanjay (GB),1.788,1.688,0.465,0.311
Franksalot (IRE),0.968,0.602,0.65,0.468
Agilete (GB),0,0,0.639,0.464
Border Edge (GB),1.341,1.601,0.438,0.283
Taranaki (GB),0,0,0.501,0.305
Stage Secret (IRE),1.162,0.692,0.706,0.577
Waterside (IRE),1.937,1.272,0.715,0.56
Head Boy (GB),0,0,0.356,0.193
Iffy (GB),1.788,1.042,0.626,0.459
Best Be Going (IRE),0,0,0.652,0.567
Whitgift Rock (GB),0,0,0.637,0.459
Voice MailI (GB),0.726,0.723,0.486,0.337
Scottish River (USA),1.937,2.085,0.483,0.346
True Dream (GB),3.874,1.561,0.708,0.631
Blu Manruna (GB),0,0,0.546,0.37
Ravish (GB),0,0,0.385,0.296
Bathwick Rox (IRE),0,0,0.491,0.355
Dawn Assault (IRE),0,0,0.282,0.141
Amorada (GB),0,0,0.279,0.103
Lizarazu (GER),2.49,1.373,0.72,0.571
Levantine (IRE),0,0,0.506,0.293
African Storm (IRE),0,0,0.217,0.061
Harbour House (GB),0,0,0.394,0.208
Dahman (GB),2.905,1.075,0.667,0.598
Transvestite (IRE),1.162,0.783,0.601,0.405
My Galliano (IRE),2.113,1.589,0.554,0.4
Colonel Bilko (IRE),0,0,0.564,0.369
Cusoon (GB),1.162,0.82,0.434,0.289
Lady Hen (GB),1.937,1.585,0.692,0.537
Overtop Way (GR),0,0,0.643,0.481
Aviation (GB),3.576,1.983,0.762,0.618
Kolyma (IRE),0,0,0.208,0.089
Primed Up (IRE),0,0,0.211,0.097
Beautiful Mover (USA),0,0,0.312,0.158
Mazindar (USA),0,0,0.33,0.186
Pay The Silver (GB),0,0,0.304,0.135
Ile Michel (GB),0,0,0.721,0.548
Sir Haydn (GB),2.179,1.73,0.599,0.454
Temper Tantrum (GB),0.646,0.408,0.56,0.404
In A Flash (IRE),2.324,0.864,0.726,0.564
Kalankari (IRE),0,0,0.661,0.499
Miss Pebbles (IRE),2.113,1.288,0.713,0.56
Beauty Of Dreams (GB),0.684,0.444,0.62,0.44
Saraba (FR),0,0,0.666,0.492
Take It There (GB),0,0,0.461,0.246
All That And More (IRE),8.716,3.407,0.8,0.76
Golden Fury (GB),3.874,1.469,0.665,0.52
My Princess (IRE),2.905,1.955,0.62,0.454
Wingspeed (IRE),0,0,0.675,0.552
Ali Bruce (GB),1.55,0.676,0.7,0.549
Halcyon Express (IRE),0,0,0.349,0.195
Goldhill Prince (GB),0.581,0.587,0.47,0.302
Golden Dynasty (GB),1.453,1.596,0.505,0.316
Play Up Pompey (GB),0,0,0.518,0.321
Thebestisyettocome (GB),1.66,1.324,0.495,0.34
San Deng (GB),1.162,0.841,0.738,0.573
Intended (GB),0,0,0.375,0.188
Pretty Woman (IRE),0,0,0.403,0.21
Imperial Treasure (FR),0,0,0.393,0.202
Hes A Star (GB),1.55,0.851,0.609,0.453
Secret Cavern (USA),0,0,0.194,0.099
Councellor (FR),1.937,0.806,0.708,0.6
Redbank (IRE),0,0,0.269,0.145
Frattn Park (IRE),0,0,0.418,0.23
Putra Kuantan (GB),0,0,0.459,0.253
Gjovic (GB),0,0,0.72,0.539
Vracca (GB),0,0,0.221,0.109
Major Faux Pas (IRE),0,0,0.503,0.345
King Of Diamonds (GB),0,0,0.29,0.115
Kanad (GB),0,0,0.6,0.451
Kindness I (GB),1.66,1.723,0.597,0.42
Merrymadcap (IRE),1.056,1,0.594,0.447
Southern Tide (USA),1.056,0.643,0.549,0.353
Sparkwell (GB),2.905,0.846,0.835,0.715
Grand Design (GB),0,0,0.233,0.086
Calabaza (GB),1.453,1.173,0.525,0.332
Notable Tiger (USA),0,0,0,0
Melaaya (USA),5.811,4.371,0.773,0.649
Balik Pearls (GB),1.937,1.038,0.62,0.452
Judraan (GB),2.905,1.084,0.633,0.489
Vegas Boys (GB),1.937,1.498,0.51,0.351
Crimson (IRE),0,0,0.432,0.275
Romany Nights (IRE),1.55,1.633,0.56,0.381
Najeebon (FR),0.775,0.638,0.576,0.411
Willhewiz (GB),2.583,1.439,0.696,0.555
Kingscross (GB),0.83,0.777,0.642,0.471
Waziri (IRE),0,0,0.469,0.285
Pango (GB),2.583,1.688,0.776,0.658
Solar Power I (IRE),0,0,0.571,0.401
Missed A Beat (GB),0,0,0.549,0.349
Easy Mover (IRE),0,0,0.53,0.377
Swan Maiden (USA),5.811,1.996,0.786,0.663
Beckett Hall (IRE),0,0,0.663,0.47
Ribald (GB),0,0,0.434,0.285
Shannon House (GB),0,0,0.299,0.175
Deputy Consort (USA),0,0,0.443,0.216
Ciccone (GB),0,0,0.478,0.237
Keep Attacking (IRE),0,0,0.307,0.138
Apres Ski (IRE),0,0,0.231,0.053
Dance Sauvage (GB),0,0,0.233,0.063
Salvestro (GB),0,0,0.469,0.282
Thomas A Beckett (IRE),0,0,0.186,0.095
Onlytime Will Tell (GB),2.324,1.457,0.363,0.272
Desert Arc (IRE),0,0,0.305,0.181
Tychy (GB),0,0,0.167,0.083
Topkat (IRE),1.66,0.706,0.731,0.571
Mad Carew (USA),2.583,1.404,0.728,0.593
Blue Torpedo (USA),2.324,1.518,0.727,0.573
Silvaline (GB),0,0,0.398,0.189
River Gypsy (GB),0,0,0.408,0.226
Cello (GB),0,0,0.22,0.062
Namroc (IRE),0,0,0.49,0.32
Otago (IRE),1.056,1.018,0.47,0.331
High Bray (GER),5.811,2.145,0.83,0.735
Davenport (IRE),2.905,2.301,0.67,0.524
Lady Georgina (GB),0,0,0.477,0.304
Admiral Compton (GB),0,0,0.47,0.286
Packing Hero (USA),3.874,0.966,0.9,0.817
Tangarita (GB),0,0,0.317,0.108
Safsoof (USA),1.937,1.31,0.66,0.485
Keep Bacckinhit (IRE),0,0,0.204,0.051
Linas Selection (GB),3.874,3.6,0.6,0.44
Red Duster (USA),0,0,0.431,0.287
Persian Express (USA),2.905,2.385,0.606,0.433
Dontcallmeginger (IRE),0,0,0.452,0.216
Jebel Ali (IRE),0,0,0.38,0.175
Kavachi (IRE),0,0,0.443,0.234
Yeomans Girl (GB),0,0,0.203,0.068
Dansili Dancer (GB),2.324,1.346,0.792,0.651
Red Racketeer (USA),4.981,1.938,0.8,0.677
Mpenzi (GB),2.905,1.56,0.716,0.589
Chocolate Caramel (USA),1.66,0.64,0.665,0.512
Remaal (IRE),2.324,1.075,0.703,0.55
Malahem (IRE),3.874,1.323,0.728,0.644
Chapter (IRE),1.453,1.261,0.428,0.286
Mollyputtheketelon (USA),0,0,0.486,0.311
Simplify (GB),0.83,0.659,0.538,0.362
Seven Samurai (GB),3.874,2.204,0.803,0.683
Expensive Problem (GB),0,0,0.538,0.357
Lii Najma (GB),0,0,0.321,0.105
Always Turn Left (IRE),0,0,0.293,0.141
Dynamite Deano (GB),0,0,0.172,0.048
Zambach (IRE),5.811,2.91,0.777,0.663
Saxon Saint (GB),3.576,1.887,0.682,0.551
Papeete (GER),3.874,2.621,0.678,0.552
Atlantic City (GB),2.583,1.726,0.537,0.36
Tilla (GB),0,0,0.184,0.074
Minnesinger (GB),1.937,3.366,0.586,0.383
Reaching Out (IRE),1.788,0.898,0.668,0.521
Wee Dinns (IRE),0,0,0.432,0.309
Pillars Of Wisdom (GB),2.583,1.296,0.678,0.541
Muntami (IRE),0,0,0.31,0.21
Rustler (GB),2.905,1.091,0.759,0.62
Umlilo (GB),0,0,0.481,0.293
Beyonce (GB),0,0,0.267,0.167
Border Artist (GB),0,0,0.508,0.325
High Chart (GB),2.905,1.766,0.594,0.428
Sahf London (GB),0,0,0.045,0.004
Mixing (GB),1.291,1.76,0.438,0.328
Duelling Banjos (GB),2.905,1.988,0.601,0.46
Mostarsil (USA),2.324,3.655,0.396,0.284
Bentleys Bush (IRE),0,0,0.119,0.019
Overwing (IRE),1.291,0.522,0.705,0.559
Jimmy The Guesser (GB),2.905,1.924,0.729,0.587
Nivelle (GB),1.66,1.449,0.379,0.284
Rock Chick (GB),0,0,0.717,0.532
Lilac Mist (GB),0,0,0.765,0.604
Caribbean Pearl (USA),7.748,5.575,0.833,0.75
Height Of Spirits (GB),0,0,0.39,0.183
Vanish (IRE),0,0,0.174,0.03
Ardglass (IRE),0,0,0.474,0.32
Clara Bow (IRE),1.453,0.557,0.741,0.581
Consonant (IRE),0.83,0.849,0.402,0.273
Dudley Docker (IRE),1.056,0.941,0.467,0.309
Tee Jay Kassidy (GB),0,0,0.356,0.158
Miss Madame (IRE),0,0,0.408,0.2
Elusive Warrior (USA),0,0,0.588,0.438
SophieJo (GB),0,0,0.662,0.518
Plough Maite (GB),0,0,0.374,0.217
Gurrun (GB),4.151,1.679,0.739,0.629
Dovedale (GB),2.324,1.543,0.719,0.548
Moldavia (GER),0.968,1.083,0.432,0.314
Just A Try (USA),1.66,0.9,0.613,0.454
Aggravation (GB),0.612,0.449,0.544,0.364
Ghaill Force (GB),0,0,0.463,0.261
Unscrupulous (GB),11.621,3.25,1,1
Kings Caprice (GB),0,0,0.56,0.378
Folio (IRE),0,0,0.515,0.347
Indian Steppes (FR),1.453,1.754,0.617,0.45
Aversham (GB),0,0,0.288,0.164
Climate Change (USA),5.811,2.463,0.771,0.689
Country Pursuit (USA),1.291,1.271,0.643,0.494
Kabis Amigos (GB),1.937,1.657,0.472,0.343
Elraawy (USA),1.66,0.951,0.602,0.447
Bank On Benny (GB),0,0,0.492,0.317
Jamaar (GB),0,0,0.356,0.155
Highland Diva (IRE),0,0,0.25,0.062
Viniyoga (GB),0,0,0.053,0.005
Mulberry Lad (IRE),0.775,0.743,0.467,0.314
Tiger Hunter (GB),0.83,1.467,0.34,0.202
Fantaisiste (GB),0,0,0.74,0.588
Make It Snappy (GB),0,0,0.434,0.209
Madhavi (GB),0,0,0.644,0.449
Scarlet Invader (IRE),1.291,1.068,0.425,0.266
Canadian Danehill (IRE),1.937,1.117,0.585,0.448
Kodiac (GB),3.32,2.802,0.555,0.458
Prince Cyrano (GB),2.113,3.114,0.515,0.339
Darla (IRE),0,0,0.309,0.123
Danehill Stroller (IRE),0,0,0.589,0.426
Anna Pallida (GB),0,0,0.361,0.175
Celtique (GB),1.162,0.507,0.682,0.517
PrenupI (IRE),0,0,0.125,0.047
Noora (IRE),3.32,2.628,0.604,0.473
Abientot (IRE),3.874,1.743,0.74,0.611
Spree (IRE),0,0,0.38,0.204
Nepro (IRE),0,0,0.143,0.02
Rare Cross (IRE),0,0,0.389,0.302
Porters (USA),1.291,0.535,0.635,0.506
Possessed (GB),2.324,1.469,0.751,0.595
The Visualiser (USA),2.324,0.955,0.665,0.511
Hallandale (GB),1.937,4.7,0.333,0.226
Velvet Valley (USA),0,0,0.333,0.111
Nastrelli (IRE),0,0,0.222,0.049
With Style (GB),0,0,0.517,0.432
Madroos I (GB),0,0,0.492,0.375
Collect (GB),0,0,0.464,0.289
Takafu (USA),2.324,1.799,0.677,0.503
Golo Gal (GB),0,0,0.519,0.315
Valiant Shadow (GER),0,0,0.353,0.218
Mersey Sound (IRE),2.682,1.92,0.583,0.475
Red Scorpion (USA),0,0,0.4,0.32
Ziggy Zen (GB),2.583,1.782,0.492,0.354
Titian Saga (IRE),3.874,7.386,0.538,0.398
Chaski (USA),1.937,0.597,0.663,0.495
Martian Glow (IRE),0,0,0.54,0.371
Nut (IRE),0,0,0.449,0.249
Madam Mac (IRE),0,0,0.1,0.02
Dance Sequel (GB),0,0,0.167,0.057
Mystic Mover (GB),0,0,0,0
Lygeton Lad (GB),0,0,0.496,0.321
Blaeberry (GB),0,0,0.52,0.395
Penalty Kick (IRE),0,0,0.412,0.255
BouquetI (GB),0,0,0.582,0.406
Sweet Indulgence (IRE),0.968,1.199,0.595,0.423
Captain Clipper (GB),0,0,0.53,0.291
Victory Design (IRE),2.905,0.704,0.759,0.654
Petite Paramour (IRE),0,0,0.329,0.185
Arminius (IRE),5.811,2.422,0.667,0.556
Symphonia (IRE),0,0,0.183,0.059
Sterling Magic (IRE),0,0,0.329,0.191
Musical High (IRE),2.905,2.833,0.533,0.398
Duelling (GB),2.324,1.681,0.597,0.427
Aastral Magic (GB),1.162,2.433,0.333,0.199
Captain Johnno (IRE),0,0,0.491,0.342
Nayyir (GB),0,0,0.597,0.377
Le Vie Dei Colori (GB),3.874,1.95,0.591,0.441
Coeur Courageux (FR),2.324,0.991,0.584,0.487
Just James (GB),0,0,0.212,0.076
Albinus (GB),0,0,0.508,0.393
Gulf (IRE),0,0,0.604,0.438
Musicanna (GB),8.716,2.241,0.944,0.901
Ela Paparouna (GB),2.324,1.759,0.646,0.508
Desert Cristal (IRE),1.453,2.92,0.447,0.253
Royal Jelly (GB),0,0,0.507,0.272
Three Secrets (IRE),0,0,0.111,0.021
Knickyknackienoo (GB),1.291,0.892,0.542,0.371
Chisel (GB),0,0,0.117,0.019
Awake (GB),0,0,0.381,0.218
Alexander Goldrun (IRE),4.649,1.781,0.822,0.71
Penkenna Princess (IRE),1.937,2.252,0.555,0.4
Takes Tutu (USA),0.684,0.511,0.552,0.415
Presumptive (IRE),2.905,1.927,0.645,0.541
Andronikos (GB),1.937,0.823,0.6,0.45
Pike Bishop (IRE),0,0,0.584,0.355
Donna Blini (GB),8.716,5.13,0.977,0.957
Queen Of Fire (GB),2.905,3.593,0.575,0.402
Nannina (GB),6.973,3.287,0.849,0.771
Gin Jockey (FR),11.621,7,1,1
Kings Head (IRE),2.905,0.854,0.707,0.602
Shahin (USA),3.874,1.179,0.896,0.811
Giganticus (USA),5.811,1.996,0.868,0.771
After The Rainbow (GB),0,0,0.592,0.359
Montjeu Man (GB),0,0,0.665,0.502
Sienna Storm (IRE),3.874,3.804,0.456,0.379
Hoh Bla Daa (GB),0,0,0.273,0.125
Moohimm (IRE),0,0,0,0
Triple Two (GB),2.324,1.141,0.509,0.402
Free Lift (GB),2.324,1.268,0.636,0.492
Arabian Dancer (GB),0,0,0.628,0.422
Wedding Party (GB),0,0,0.319,0.189
Halle Bop (GB),0,0,0.265,0.213
The Abbess (GB),0,0,0.25,0.125
Nuwara Eliya (GB),2.324,2.295,0.639,0.467
Papality (GB),1.66,0.685,0.795,0.659
Darling Deanie (IRE),1.66,2.077,0.596,0.405
English Victory (GB),0,0,0.582,0.375
Noble Duty (USA),0,0,0.278,0.077
Sun And Showers (IRE),0,0,0.499,0.284
Medora Leigh (USA),0,0,0.497,0.303
Ciel Bleu (GB),0,0,0.028,0.002
Ivan Denisovich (IRE),5.811,1.034,0.822,0.738
Northern Empire (IRE),2.905,0.72,0.922,0.853
Salinja (USA),2.905,1.108,0.759,0.621
Blaise Hollow (USA),2.905,2.262,0.741,0.596
Patronage (GB),1.291,0.431,0.628,0.493
Amadeus Mozart (IRE),0,0,0.68,0.524
Sicilian (IRE),0,0,0.354,0.128
Go Figure (IRE),0,0,0.635,0.442
Club Captain (USA),0,0,0.111,0.012
SentinelI (GB),0,0,0.656,0.445
Ten Carat (GB),0,0,0.641,0.465
Sharadi (IRE),1.66,1.473,0.497,0.347
Tender Trap (IRE),0,0,0.146,0.043
Ashdown Express (IRE),1.056,0.529,0.705,0.539
Pivotal Point (GB),0,0,0.136,0.037
Coup DEtat (GB),3.32,1.772,0.631,0.495
Horatio Nelson (IRE),8.716,1.504,0.964,0.934
Yasoodd (GB),1.66,0.911,0.634,0.468
John Terry (IRE),5.811,3.937,0.65,0.545
Guest Connections (GB),2.324,1.923,0.434,0.293
High Reach (GB),1.291,0.793,0.603,0.441
Marshman (IRE),0.894,0.952,0.574,0.387
Nidhaal (IRE),5.811,1.885,0.866,0.784
Ribh (GB),0,0,0.58,0.444
Choir Practice II (GB),0,0,0.621,0.406
Silcas Sister (GB),5.811,1.33,0.818,0.702
Stage Flight (GB),2.324,0.792,0.761,0.608
Lady Livius (IRE),2.324,3.853,0.521,0.337
Power Broker (GB),0,0,0.605,0.45
Cape Presto (IRE),3.32,2.034,0.588,0.467
Afrad (FR),3.874,2.377,0.741,0.636
Red Admiral (USA),2.905,2.347,0.556,0.375
Bumptious I (GB),0,0,0,0
Willhego (GB),2.583,2.395,0.585,0.493
Parisien Star (IRE),0,0,0.391,0.248
Karaoke I (IRE),0,0,0.502,0.355
Sachin (GB),0,0,0.424,0.252
Tarkeez (USA),0,0,0.147,0.031
Star Cluster (GB),11.621,10,1,1
Deveron (USA),2.905,1.58,0.758,0.634
Cross Channel (USA),3.874,1.357,0.694,0.606
Mont Etoile (IRE),0,0,0.687,0.485
Galileos Star (IRE),2.905,1.417,0.771,0.637
Heaven Sent (GB),0,0,0.733,0.544
Shortest Day (GB),2.905,0.942,0.841,0.731
Choosy (IRE),2.905,2.18,0.753,0.613
Bint Al Hammour (IRE),0,0,0.163,0.038
Red Tsarina (GB),0,0,0.153,0.024
Shropshirelass (GB),0,0,0.265,0.119
Westmoreland Road (USA),0,0,0,0
Nephetriti Way (IRE),1.453,1.194,0.524,0.345
Bailey Gate (GB),1.453,1.913,0.407,0.231
Bayeux De Moi (IRE),0,0,0.748,0.565
Sun Kissed (JPN),0,0,0.378,0.174
Hope An Glory (IRE),1.937,1.223,0.568,0.437
Roman Villa (USA),2.905,1.29,0.604,0.446
Golden Applause (FR),2.905,2.112,0.796,0.683
River Mist Image (USA),0,0,0.634,0.444
Diamond Diggins (GER),0,0,0.474,0.245
Leighton Buzzard (GB),0,0,0.658,0.447
Primondo (IRE),0,0,0.515,0.293
Star Rising (GB),0,0,0.436,0.209
Secretive Dancer (IRE),0,0,0.151,0.026
Scottish Play (IRE),0,0,0.388,0.222
Cashbar (GB),0,0,0.355,0.147
Barton Sands (IRE),2.214,1.269,0.65,0.53
Imperial Dragon (USA),0,0,0,0
Live Fast (USA),0,0,0.691,0.572
Bronzed (GB),0,0,0.363,0.191
High Class Problem (IRE),0,0,0.49,0.261
Pagan Crest (GB),0,0,0.609,0.391
Princess Society (IRE),0,0,0.417,0.201
Sebaaq (USA),0,0,0.115,0.032
Remember Ramon (USA),0,0,0.417,0.347
Polar Jem (GB),3.874,3.846,0.663,0.516
Blaze Of Colour (GB),0,0,0.834,0.705
Humble Opinion (GB),1.453,0.554,0.739,0.591
Macaulay (IRE),2.905,1.415,0.533,0.363
Army Of Angels (IRE),0,0,0.517,0.421
Am Brose (USA),0,0,0.302,0.215
Free Angel (USA),2.905,1.599,0.772,0.616
All Ivory (GB),3.874,1.502,0.848,0.74
Cross My Mind (GB),1.937,1.695,0.733,0.655
El Rey Del Mambo (USA),1.66,0.772,0.594,0.421
Jacaranda (IRE),0,0,0.533,0.329
Fife And Drum (USA),0,0,0.242,0.152
Tagula Blue (IRE),0,0,0.369,0.219
Bold Eagle (IRE),2.324,0.734,0.721,0.573
Captain General (GB),0,0,0.333,0.119
Island Odyssey (GB),0,0,0.6,0.404
Race To The Music (USA),11.621,1.797,1,1
Cape Of Luck (IRE),3.32,1.818,0.686,0.53
Swinbrook (USA),1.937,2.264,0.673,0.528
Maltese Falcon (GB),3.874,3.354,0.627,0.486
Yajbill (IRE),0,0,0.304,0.21
La Bella Grande (IRE),5.811,2.906,0.908,0.836
Restoration (FR),1.453,0.903,0.636,0.483
Mr Aitch (IRE),2.324,2.768,0.65,0.46
Trappeto (IRE),0,0,0.542,0.335
My Diss Sire (GB),0,0,0.468,0.275
Lochranza (IRE),0,0,0.371,0.236
Portcullis (GB),0,0,0.557,0.335
King Of Argos (GB),0,0,0.571,0.327
Amadeus Rock (USA),0,0,0.171,0.03
Meantime I (USA),0,0,0.422,0.268
Mickehaha (GB),2.324,2.805,0.651,0.508
Key Of Solomon (IRE),0,0,0.217,0.054
Dahliyev (IRE),0,0,0.275,0.124
Crystal Air (IRE),2.905,6.619,0.6,0.425
Halfwaytoparadise (GB),0,0,0.872,0.761
Jucebabe (GB),0,0,0.426,0.252
Market Girl (GB),0,0,0.288,0.128
Carn Lady (IRE),0,0,0.41,0.169
Radius (GB),0,0,0.661,0.522
Ghajariy (USA),0,0,0,0
Weecandoo (IRE),0,0,0.346,0.183
Amir Zaman (GB),0,0,0.347,0.213
Sciatin (IRE),2.905,1.22,0.819,0.69
Croft (IRE),0,0,0.417,0.219
Italian Romance (GB),0,0,0.2,0.04
Apache Indian (USA),0,0,0,0
Efrhina (IRE),2.214,1.411,0.56,0.398
Ans Bach (GB),3.874,1.991,0.5,0.417
Ballybeg (IRE),0,0,0.525,0.324
Tiptoeing (GB),0,0,0.33,0.238
Lamington (IRE),0,0,0.03,0.003
Pinchbeck (GB),2.583,2.94,0.484,0.385
Dorchester I (GB),0,0,0.381,0.217
Hoh Bleu Dee (GB),0,0,0.538,0.358
My Pension (IRE),0.968,0.929,0.364,0.219
Dancing Rose (IRE),2.905,2.535,0.749,0.63
Lateen Sails (GB),0,0,0.589,0.373
Invasian (IRE),0,0,0.075,0.009
Pawn Broker (GB),0,0,0.213,0.093
Capitol Kid (IRE),2.324,3.169,0.372,0.257
Gandalf (GB),2.905,3.999,0.558,0.395
Cats Whiskers (GB),0,0,0.231,0.097
Giverny Spring (GB),0,0,0.659,0.462
Cresta Gold (GB),0,0,0.562,0.355
In Reality (GB),0,0,0.752,0.586
Chanteuse Noire (USA),0,0,0.632,0.432
Shamsalmaidan (IRE),0,0,0.484,0.252
Crazy Bear (IRE),0,0,0.479,0.318
Mekyaas (GB),0,0,0.543,0.368
Marina Ellen (USA),0,0,0.144,0.04
Scott (GB),0,0,0.621,0.452
Lodger (FR),0,0,0.045,0.004
Fen Game (IRE),2.905,1.558,0.589,0.418
Woodford Consult (GB),0.968,1.019,0.603,0.441
Opalite (GB),0,0,0.527,0.297
Tavalu (USA),0,0,0.692,0.488
The Plainsman (GB),0,0,0.527,0.326
Rafelite (GB),0,0,0.373,0.193
Hawk Arrow (IRE),2.324,1.367,0.697,0.548
Glorious Westport (IRE),0,0,0.277,0.164
Abstract Art (USA),0,0,0.757,0.608
Feu DArtifice (USA),0,0,0.82,0.674
Alhaitham (USA),0,0,0.809,0.675
Hunting Party I (IRE),0,0,0.636,0.414
Indiara (IRE),0,0,0.343,0.124
Meadow Mischief (FR),0,0,0.35,0.245
Young Flavio (GB),2.113,2.057,0.474,0.34
Silver Bangle (GB),0,0,0.492,0.32
In The Fountain (IRE),0,0,0.44,0.271
Red Emerald (GB),1.291,0.885,0.45,0.295
Cnoc Na Gaoithe (USA),2.324,2.404,0.396,0.313
Truly Fruitful (IRE),2.905,3.703,0.497,0.355
Look Again I (GB),0,0,0.587,0.461
Leporello (IRE),0,0,0.456,0.282
Orrezzo (GER),0,0,0.21,0.095
Logsdail (GB),1.453,0.936,0.619,0.487
Red Damson (IRE),5.811,1.601,0.878,0.801
All Star (GER),1.056,0.606,0.813,0.675
Almavara (USA),2.324,1.273,0.59,0.404
Mokaraba (GB),2.905,1.033,0.575,0.463
Zayn Zen (GB),3.486,1.772,0.856,0.75
In The Pink (IRE),1.056,0.831,0.494,0.31
Keyaki (IRE),1.66,1.441,0.475,0.309
Flamjica (USA),0,0,0.283,0.113
Ice Princess I (IRE),3.874,3.586,0.437,0.349
Josephus (IRE),0,0,0.193,0.065
Irony (IRE),1.291,1.462,0.485,0.35
Eilean Ban (USA),5.811,3,0.967,0.936
Angel Voices (IRE),0,0,0.826,0.683
Sensuous (GB),0,0,0.641,0.484
Silver Dip (GB),3.874,4.625,0.7,0.537
Nicks Nikita (IRE),0,0,0.562,0.342
Inbuilt Beauty (USA),0,0,0.263,0.106
Wannabe Posh (IRE),0,0,0.412,0.181
Fordhill (IRE),0,0,0.133,0.018
Madame Constanze (IRE),0,0,0.233,0.082
Prinquet (USA),0,0,0,0
Jamehir (IRE),0,0,0.654,0.44
Gawain (USA),0,0,0.542,0.337
Newtown Villa (GB),0,0,0.167,0.031
Bay Hawk (GB),0,0,0.322,0.186
Singlet (GB),1.66,1.388,0.695,0.558
Real Cool Cat (USA),3.32,1.447,0.831,0.754
Unsuited (GB),0,0,0.376,0.168
Easy Laughter (IRE),1.056,1.094,0.551,0.4
Lyrical Way (GB),2.905,2.032,0.412,0.333
Illustrious Blue (GB),0,0,0.863,0.749
Estiqraar (IRE),0,0,0.867,0.752
Taminos Love (GB),3.874,1.189,0.861,0.752
Teide Lady (GB),0,0,0.679,0.488
Charles Street Lad (IRE),0,0,0.4,0.201
Macs All Heart (IRE),0,0,0.319,0.168
Riverside Drive (IRE),0,0,0,0
Patternmaker (USA),1.291,0.722,0.534,0.418
