damsire,IV,A/E,PRB,PRB2
Julio Mariner,1.336,1.017,0.463,0.337
Trempolino,1.39,1.012,0.541,0.39
Dancing Dissident,0.52,0.477,0.467,0.303
Chilibang,0.253,0.278,0.447,0.295
Belmez,1.094,1.031,0.505,0.358
Pas De Seul,1,0.901,0.468,0.338
Mazilier,0.637,0.467,0.501,0.342
Carwhite,0.628,0.501,0.447,0.311
Bay Express,0.888,0.734,0.46,0.312
Nabeel Dancer,0.775,0.87,0.52,0.375
Generous,1.118,0.82,0.561,0.414
Scenic,1.633,1.027,0.548,0.403
Prince Rupert,0.756,0.756,0.455,0.303
Rahy,1.463,1.028,0.547,0.397
Precocious,0.704,0.656,0.45,0.287
Don,0.738,0.661,0.548,0.398
Indian King,0.83,0.705,0.47,0.326
Lochnager,0.599,0.613,0.428,0.277
Imperial Frontier,1.535,1.209,0.552,0.408
Geiger Counter,0.401,0.718,0.284,0.161
Rainbow Quest,1.081,0.824,0.505,0.359
Bob Back,1.031,0.846,0.476,0.324
General Assembly,1.228,0.86,0.508,0.373
Warrshan,1.252,1.219,0.503,0.361
Efisio,1.22,0.991,0.551,0.399
Doyoun,1.039,0.775,0.532,0.385
Highest Honor,1.399,1.103,0.505,0.38
Daring March,0.572,0.699,0.413,0.269
Tragic Role,0.465,0.558,0.43,0.277
Fairy King,0.733,0.652,0.481,0.33
Key To The Kingdom,0.505,0.369,0.394,0.247
Sri Pekan,0.674,0.548,0.518,0.361
Lypheor,0.363,0.252,0.575,0.414
Most Welcome,1.28,1.137,0.525,0.382
Grand Lodge,0.924,0.892,0.461,0.301
Vision,0.856,0.668,0.469,0.325
Shalford,1.375,1.055,0.519,0.388
Storm Bird,1.458,0.947,0.573,0.427
First Trump,1.234,0.878,0.584,0.426
White Mill,0,0,0.496,0.347
Pips Pride,0.807,0.857,0.455,0.304
Lord Bud,0.894,1.33,0.363,0.221
Relkino,1.33,1.003,0.443,0.322
Royal Academy,0.955,0.815,0.512,0.361
Sham,1.937,1.263,0.459,0.34
College Chapel,1.572,1.113,0.542,0.396
Damascus,0.291,0.287,0.481,0.322
Warning,0.981,0.846,0.501,0.348
Lake Coniston,1.808,1.152,0.591,0.462
Marouble,1.395,1.038,0.51,0.341
Pursuit Of Love,0.854,0.724,0.479,0.328
Bering,0.936,0.724,0.481,0.329
Absalom,0.777,0.713,0.479,0.321
Paris House,0.917,0.627,0.433,0.267
Martinmas,0.453,0.494,0.483,0.327
Free State I,0.867,0.873,0.5,0.343
Red Ransom,0.375,0.312,0.497,0.331
Afleet,0.992,0.645,0.505,0.354
Millfontaine,0.646,0.485,0.523,0.351
Busted,0.822,0.633,0.501,0.366
Reprimand,0.775,0.758,0.473,0.333
Puissance,0.481,0.525,0.399,0.246
Prince Sabo,1.069,0.912,0.509,0.361
Strawberry Road,1.585,1.231,0.423,0.285
King Of Spain,0.459,0.768,0.273,0.161
Hamas,0.528,0.421,0.553,0.387
Platini,1.55,0.846,0.571,0.424
Bigstone,0.588,0.546,0.449,0.295
Roi Danzig,0.77,0.673,0.45,0.31
Red Sunset,0.711,0.68,0.447,0.294
Prince Des Coeurs,0,0,0.235,0.059
Case Law,0.465,0.659,0.352,0.208
Ajdal,1.093,0.877,0.525,0.37
