damsire,IV,A/E,PRB,PRB2
Mister Jack,0,0,0,0
Mont Basile,1.835,1.166,0.604,0.451
Frontal,0,0,0.592,0.526
Cataldi,0.646,0.714,0.488,0.341
Mansingh,1.162,0.902,0.519,0.377
Maximilian,0,0,0,0
Belgio,0,0,0,0
National Trust,0.968,0.938,0.208,0.177
Privy Seal,0.83,0.543,0.455,0.337
Amoristic,0.581,0.578,0.393,0.266
Courtroom,5.811,1.018,0.867,0.771
King Persian,2.324,1.577,0.473,0.339
Paseo,0,0,0.312,0.113
Hard Fact,0.968,0.689,0.456,0.355
Good Counsel,0,0,0.685,0.476
Milione,0,0,0.228,0.08
Lagunas,3.374,1.609,0.701,0.563
Young Man I,1.453,1.272,0.171,0.133
Script Ohio,0,0,0.346,0.2
Roi Guillaume,3.537,1.555,0.655,0.571
Three Wishes I,0,0,0.275,0.153
Invited,0.894,1.013,0.387,0.262
Andy Rew,0,0,0.455,0.414
Bojador,0,0,0.688,0.473
Grange Melody,0,0,0.766,0.623
Kashneb,5.811,2.86,0.562,0.516
Highland Chieftain,9.297,2.195,0.911,0.862
Heavenly Manna,0.363,0.322,0.514,0.407
Lazer,1.66,1.314,0.711,0.537
Calicot,0,0,0.157,0.062
Levanter,2.49,1.927,0.583,0.471
Miami Springs,1.09,1.121,0.448,0.296
Lucky Brief,1.223,0.966,0.557,0.406
Double Bed,0,0,0.476,0.307
Silver Rainbow,1.937,1.504,0.607,0.494
Lionel II,0,0,0.629,0.423
Fidel,0.314,0.295,0.467,0.317
Montevideo II,0,0,0.519,0.412
El Badr,2.214,1.148,0.529,0.411
The Brianstan,2.324,1.08,0.598,0.496
Riberetto,0,0,0.303,0.158
Glacial Storm,1.291,0.86,0.531,0.375
Push On,3.032,1.443,0.469,0.386
Take A Reef,0.646,0.618,0.44,0.308
Native Guile,0,0,0.262,0.173
Long Pond,0.83,0.725,0.482,0.333
Condorcet,0.942,0.789,0.479,0.373
DArras,0,0,0,0
Cache Of Gold,0,0,0.267,0.149
Nice Havrais,1.937,0.651,0.777,0.645
Tourangeau,0.528,0.22,0.507,0.376
Sicyos,0.612,0.462,0.495,0.386
Arratos,5.811,1.538,0.886,0.807
Prince Bee,2.905,1.677,0.563,0.461
Barbotan,0,0,0.256,0.132
Impecunious,2.905,3.169,0.384,0.288
Tale Quale,1.328,0.914,0.571,0.429
Diaghilev,0,0,0.157,0.058
Crowned Prince,1.453,0.977,0.464,0.339
Sula Bula,0.775,1.799,0.186,0.115
Celio Rufo,0.792,0.603,0.44,0.304
Darantus,0.894,0.558,0.432,0.297
Riverquest,5.811,1.36,0.729,0.648
Count Ivor,0,0,0.345,0.285
Bay Comeau,0,0,0.318,0.202
Buckley,0.277,0.365,0.441,0.292
Osiris,0,0,0.143,0.02
Royal Match,1.107,0.979,0.466,0.33
Pablond,0,0,0.214,0.104
Healaugh Fox,0,0,0,0
Weatherbird,0,0,0,0
Deep Roots,2.324,1.947,0.35,0.312
Sarpedon I,0.646,0.713,0.528,0.37
Deerhound,1.937,1.455,0.382,0.272
Passing Sale,3.874,1.537,0.733,0.608
Le Coq DOr,0.283,0.315,0.383,0.234
Hotfoot I,0.408,0.461,0.4,0.251
Pitcairn,3.874,1.016,0.897,0.812
Cheval,0.517,0.542,0.404,0.259
Spare A Dime,4.981,3.766,0.79,0.667
Goldneyev,2.051,1.922,0.536,0.389
Maalem,2.324,0.691,0.645,0.514
Orchardist,0,0,0.436,0.272
Merrymount,1.291,1.229,0.441,0.303
Agent Bleu,0,0,0.371,0.243
Rhapsodien,1.291,0.58,0.612,0.45
Roaring Riva,0,0,0.333,0.111
Hamster,0,0,0.691,0.484
Park Romeo,0,0,0.077,0.006
All Systems Go,0,0,0.667,0.472
Tamerlane,1.453,1.32,0.515,0.391
Baly Rockette,1.788,0.818,0.593,0.498
Persian Mews,2.051,1.167,0.587,0.47
Ardar,0,0,0.337,0.211
Village Star,2.324,1.497,0.605,0.481
Hello Gorgeous,0.861,0.823,0.499,0.341
Domitor,0,0,0,0
Capricorn Line,0.758,0.808,0.447,0.287
Radical,1.223,0.781,0.616,0.481
Uncle Pokey,2.583,1.293,0.702,0.541
Hold Your Peace,0,0,0.398,0.259
Creag-An-Sgor,0,0,0.15,0.034
Foggy Bell,0,0,0.476,0.303
Saber Thrust,0,0,0.667,0.444
Go And Go,3.058,1.562,0.771,0.648
Saint Estephe,1.056,0.845,0.586,0.423
Ghazi,0,0,0.509,0.339
Alydeed,0,0,0.454,0.278
Smackover,0.298,0.382,0.323,0.211
Caller I D ,0,0,0.559,0.405
Majestic Light,0.75,0.865,0.388,0.245
Pivotal,1.291,1.644,0.476,0.326
Critique I,0,0,0.428,0.232
Earl Of Barking,3.874,4.621,0.45,0.382
Gallapiat,0,0,0.419,0.224
Flash N Thunder,0,0,0.444,0.204
Marignan,2.641,1.647,0.623,0.494
Turgeon,1.453,0.911,0.668,0.534
Insan,1.179,1.021,0.562,0.393
Tilt The Stars,0,0,0,0
Silver Ghost,0,0,0.213,0.052
John De Coombe,0,0,0.278,0.158
Lichine,0.465,0.464,0.434,0.299
Who Knows I,1.66,0.713,0.449,0.379
Baldhu Cavalier,0,0,0.086,0.008
Northern Flagship,0,0,0.322,0.185
Luge,0,0,0.372,0.189
Restless Native,0.646,0.421,0.6,0.415
Feenpark,0,0,0.481,0.281
Bin Ajwaad,2.49,1.831,0.614,0.49
Carson City,0.75,0.832,0.361,0.195
Bonny Scot,0,0,0.426,0.236
Esclavo,0,0,0.43,0.292
Spectrum,0.628,0.655,0.416,0.249
Birthright II,0,0,0.483,0.345
The Quiet Man I,0,0,0.682,0.495
Amen,2.324,1.074,0.63,0.508
Flatbush,1.937,0.899,0.511,0.34
Heros Honor,0,0,0.547,0.364
Royal Blend I,0,0,0.234,0.097
Norcliffe,0,0,0.633,0.517
Regular Guy,0,0,0.257,0.172
Eurobus,1.056,1.608,0.467,0.35
Ben Novus,0,0,0.387,0.299
Vital Season,0,0,0.52,0.328
Cougar,0,0,0.268,0.124
Wittgenstein,0,0,0.286,0.159
Margouillat,3.169,2.351,0.429,0.36
Balios,0,0,0,0
Teamwork I,5.811,5.368,0.778,0.654
Jimsun I,1.453,0.828,0.531,0.44
Brianston Zipper,0,0,0.233,0.118
Le Correzien II,1.66,1.701,0.345,0.258
Bing II,0.726,0.554,0.468,0.328
Distinctly,0,0,0.45,0.205
Night And Day,0,0,0.589,0.373
He Loves Me,0.528,0.376,0.514,0.347
Czaravich,0,0,0.288,0.173
Matahawk,2.767,1.03,0.558,0.433
Blockhaus,0,0,0.508,0.389
Prince Melchior I,0,0,0.353,0.125
Welsh Term,2.447,1.325,0.724,0.63
Jurado,0,0,0.23,0.119
Newski,0,0,0.436,0.217
Meadowbrook,0,0,0.491,0.329
Naskra,0,0,0.498,0.39
Whittingham,1.395,1.101,0.498,0.355
Crimson Beau,1.367,1.206,0.524,0.361
Silver Deputy,0,0,0.245,0.102
Maledetto,0,0,0.308,0.142
Merdon Melody,0,0,0.422,0.234
Superbity,2.905,1.721,0.695,0.561
Gem Master,0,0,0.058,0.006
Notebook,0.528,0.339,0.507,0.369
Revoque,4.649,3.673,0.642,0.546
Alomas Ruler,2.324,3.765,0.487,0.347
Skip Trial,0,0,0.367,0.157
Longleat,6.641,1.857,0.714,0.633
Mansooj,0.342,0.382,0.465,0.305
Crackao,1.162,1.111,0.39,0.265
Homeboy,1.056,1.21,0.509,0.333
My Gallant,1.55,1.592,0.525,0.352
Dhausli,2.324,3.119,0.421,0.341
Eborneezer,0,0,0.09,0.048
Abdonski,1.937,0.54,0.428,0.376
Record Run,1.66,1.575,0.629,0.45
Whistlefield,1.056,1.11,0.395,0.286
Sandalay,0.894,0.501,0.532,0.423
Aylesfield,1.056,0.905,0.469,0.309
Fin Bon,3.228,1.51,0.522,0.414
IndiaroI,1.223,1.137,0.526,0.401
Gaspard De La Nuit,0,0,0.329,0.171
Caramo,3.32,0.966,0.563,0.427
Veloso,0,0,0.344,0.238
Church Parade,0,0,0.533,0.426
Direct Flight,2.324,1.16,0.696,0.616
Golden Act,1.453,1.414,0.521,0.388
Ragstone,0,0,0.717,0.529
Moscow Society,0.375,0.394,0.479,0.291
Rugantino,1.162,1.048,0.595,0.443
Andretti I,1.09,1.068,0.425,0.299
Candy Cane,0.894,0.864,0.398,0.269
Arcticeelagh,1.66,0.738,0.597,0.482
Olantengy,4.981,1.795,0.667,0.627
Royalty,1.056,0.788,0.471,0.359
Heraldiste,0,0,0.365,0.213
Crawter,0,0,0,0
Lucifer,1.245,0.761,0.558,0.418
Capitano,4.358,1.287,0.625,0.546
London Bells,0,0,0.237,0.137
Annes Pretender,0,0,0,0
Yankee Gold,1.162,1.026,0.563,0.414
Soughaan,1.453,1.003,0.48,0.384
Fioravanti,0,0,0.354,0.189
Dakota,1.107,0.516,0.517,0.374
King Sitric,0,0,0.472,0.319
Status Seeker,1.056,1.133,0.331,0.248
Malicious,0,0,0.562,0.444
Roman Warrior,0.726,0.504,0.385,0.31
Tarboosh,1.291,1.013,0.515,0.364
River Beauty I,1.66,0.765,0.606,0.473
Shaab,1.162,0.933,0.517,0.36
Dauphin Du Bourg,0,0,0.642,0.453
Clearly Bust,0.775,0.844,0.475,0.31
Kamiros,0,0,0.365,0.172
Saint Denys,1.835,1.241,0.448,0.362
North Summit,0,0,0.583,0.419
Royal Buck,1.453,0.721,0.543,0.426
Kastet,3.874,7.361,0.717,0.574
Pedege,0,0,0.75,0.585
Whistling Top,1.937,1.22,0.528,0.408
Castle Guard,0,0,0.312,0.133
Jester,1.66,2.303,0.186,0.148
Kinglet,0.861,0.623,0.395,0.294
Kautokeino,0,0,0.427,0.241
Fury Royal,0,0,0.21,0.076
Perrault,2.905,1.895,0.489,0.399
Red God,2.324,1.682,0.41,0.378
Sousa,0,0,0.167,0.082
Silly Prices,1.367,0.804,0.66,0.497
Alto Volante I,1.937,2.07,0.359,0.294
Fitzpatrick,0,0,0.634,0.465
Safawan,0,0,0.224,0.101
Cut Above,0.447,0.538,0.505,0.35
Combine Harvester,1.056,1.005,0.312,0.186
Baragoi,0,0,0.585,0.439
Virginia Privateer,0,0,0,0
Birdbrook,1.291,0.881,0.646,0.49
Majestic Maharaj,0.775,0.427,0.491,0.38
Lord Ballina,0,0,0,0
Northjet,0,0,0.611,0.442
Windjammer,0.401,0.495,0.392,0.254
Takachiho,0,0,0.04,0.008
Battle-Waggon,1.453,1.205,0.618,0.475
Immer,2.905,0.745,0.472,0.394
David Jack,0,0,0.32,0.18
Blue Razor,0,0,0.153,0.034
Chaparral,1.162,0.794,0.387,0.289
Un Desperado,0.283,0.331,0.4,0.245
Flair Path,0,0,0.48,0.299
Porto Bello,0.581,0.741,0.522,0.35
Class Distinction,0,0,0.364,0.264
Pals Passage,0,0,0.342,0.169
Minster Son,0,0,0.307,0.137
Makbul,0,0,0.464,0.222
Spectacular Bid,0.581,0.569,0.392,0.288
Profit Key,0,0,0.294,0.156
Greinton,1.056,1.686,0.454,0.3
Clay Hero,0,0,0.476,0.243
Northern Prospect,0,0,0.302,0.155
Fly So Free,0.646,0.615,0.369,0.228
Shelter Half,0,0,0.436,0.289
Northern Park,0,0,0.412,0.248
Another Realm,0.553,0.541,0.493,0.327
Monsagem,5.811,8.75,0.889,0.802
Distinctive,0.968,0.791,0.523,0.355
Faliraki,0,0,0.107,0.018
Private Terms,0.83,0.771,0.432,0.305
Desse Zenny,0.775,0.589,0.513,0.319
Barachois,0,0,0.219,0.1
Fit To Fight,0,0,0.396,0.249
Lucky Guest,1.291,2.696,0.565,0.42
Olympio,0,0,0.574,0.396
Southern Arrow,6.973,4.804,0.843,0.763
Sir Gaylord,1.291,3.327,0.354,0.228
Sky Classic,1.453,1.584,0.5,0.355
Diu Star,4.649,1.796,0.833,0.745
Willow Hour,1.011,0.987,0.432,0.274
Gay Meadow,0,0,0.478,0.321
Ashkalani,0,0,0.317,0.24
Exclusive Era,1.395,1.202,0.469,0.316
Give Me Strength,1.291,1.118,0.49,0.337
Hollow Hand,0.894,0.757,0.536,0.38
Adonijah I,0.363,0.448,0.476,0.29
Starry Night,3.169,0.961,0.691,0.609
Cortez,1.66,1.092,0.523,0.416
Chati,0,0,0.399,0.291
Fijar Tango,0,0,0.318,0.173
Morning Bob,0,0,0.5,0.335
Pamponi,2.179,1.281,0.479,0.394
Sarhoob,0,0,0.44,0.237
Best By Test,5.811,9.512,0.667,0.556
Labus,1.55,0.87,0.537,0.423
Little Brown Jug,7.748,5.235,0.842,0.81
Sirano,0,0,0.38,0.22
Balla Cove,1.367,1.45,0.377,0.249
Cap Martin,1.516,1.028,0.615,0.487
Shecky Greene,0,0,0.261,0.068
John French,0,0,0.314,0.178
Kylian,0,0,0.741,0.559
Sir Brink,0,0,0.619,0.412
Hansels Nephew,0,0,0.506,0.262
Exdirectory,0,0,0.644,0.515
Rivelago,0,0,0.541,0.376
Dawn Review,0,0,0.285,0.196
Farnesio,0,0,0.549,0.351
Derek H,0.581,1.767,0.357,0.22
Dance Spell,0,0,0.174,0.046
Magwal,3.576,2.683,0.775,0.641
Point North,0,0,0.416,0.187
Island Whirl,0,0,0.473,0.279
Blazing Saddles,0,0,0.173,0.039
Best Turn,0,0,0.125,0.016
Jolie Jo,1.162,0.792,0.47,0.312
Epervier Bleu,1.937,0.938,0.467,0.357
Athenagoras,1.367,1.142,0.59,0.437
Peacock,0,0,0.41,0.277
Erins Isle,2.051,1.532,0.548,0.4
North Col,0,0,0.094,0.03
Polyfoto,1.223,0.752,0.549,0.424
Racing Is Fun,1.66,0.89,0.655,0.49
Baby Turk,0.323,0.375,0.495,0.351
African Sky I,0,0,0.471,0.305
Mountain Cat,0,0,0.417,0.181
Hot Grove,0,0,0.266,0.124
Mr Fluorocarbon,0,0,0.261,0.107
Chaddleworth,0,0,0.132,0.046
Brogan,0,0,0.292,0.106
Librate,0,0,0.175,0.06
Royben,0.968,0.928,0.634,0.47
Chief Honcho,1.937,1.402,0.691,0.536
Vigors,0,0,0.28,0.129
Petingo,0,0,0.038,0.003
Woods Of Windsor,0,0,0.384,0.218
Silver Season,2.324,1.796,0.556,0.433
Tidaro,2.404,2.005,0.548,0.401
Eastern Echo,0,0,0.472,0.334
Vorias,1.107,0.753,0.435,0.297
Leander,0,0,0.163,0.059
Cavo Doro,0.465,0.475,0.55,0.387
Bluffer,0,0,0.308,0.095
Stone,2.324,0.909,0.505,0.436
Sun Prince,0,0,0.54,0.396
Bold Bidder,0,0,0.418,0.247
Magesterial,0,0,0.352,0.161
Linkage,4.842,2.498,0.734,0.677
Great Commotion,0,0,0.347,0.169
Motley,2.49,1.373,0.72,0.571
Ice Reef,0,0,0.643,0.481
Imperial Ballet,0,0,0.33,0.186
Magic Mirror I,1.722,1.614,0.654,0.503
Imperial Falcon,0,0,0.393,0.202
Bucksplasher,1.056,0.643,0.549,0.353
What A Pleasure,0,0,0,0
Saint Ballado,5.811,4.371,0.773,0.649
Line In The Sand,2.905,3.073,0.45,0.33
Baynoun,1.66,0.64,0.665,0.512
North Briton,0,0,0.291,0.145
Academy Award,1.291,0.535,0.635,0.506
Broad Brush,0.83,0.623,0.522,0.395
Habat,0.465,0.515,0.404,0.24
Antheus,2.583,1.017,0.552,0.464
Forli,0.553,0.517,0.441,0.298
The Noble Player,0.342,0.507,0.395,0.242
Proud Truth,2.682,1.26,0.707,0.587
Tarim,2.324,0.734,0.721,0.573
Tri Jet,0,0,0,0
Nasty And Bold,0.646,0.784,0.34,0.21
Lost Code,0,0,0.757,0.608
Silver Buck,3.874,4.625,0.7,0.537
Taylors Falls,0,0,0.664,0.506
Muhtarram,0,0,0.39,0.224
J O Tobin,1.291,1.048,0.5,0.353
Louis Quatorze,0,0,0.385,0.148
Farfelu,0,0,0.091,0.021
Al Mufti,0,0,0.64,0.462
Somethingfabulous,0,0,0.197,0.056
Citidancer,0,0,0.592,0.367
Vettori,3.32,1.583,0.794,0.664
Slew City Slew,0,0,0.465,0.317
Salt Lake,1.937,1.03,0.514,0.395
Mendez,0,0,0.22,0.125
One For All,0.93,0.833,0.46,0.293
Jubilee Wine,0,0,0.429,0.286
Derring-Do,0,0,0.383,0.241
Taj Dewan,0,0,0,0
King Of Macedon,0,0,0.19,0.109
Dixieland,0,0,0.589,0.381
Anax,0,0,0.462,0.336
Hoist The Flag,0,0,0.233,0.163
Jolly Me,0,0,0.141,0.043
St Paddy,3.874,3.351,0.877,0.778
Germany,0,0,0.615,0.379
Talinum,0,0,0.249,0.102
My Generation,0.968,0.564,0.584,0.428
Meneval,0.942,0.902,0.517,0.36
Azimut,0,0,0.431,0.261
Bustomi,1.788,1.763,0.55,0.43
Royal Captive,0,0,0.54,0.396
Gay Minstrel,0,0,0.443,0.234
Pago Pago,1.937,0.93,0.613,0.424
River Mist,0,0,0.062,0.008
Stately Don,0.415,0.262,0.51,0.393
Yours,0,0,0.383,0.279
Highlanders,1.291,0.566,0.588,0.434
DAccord,2.051,1.204,0.499,0.39
Pee Mai,0,0,0.409,0.254
Trojan Fort,0,0,0.482,0.277
Darby Creek Road,0,0,0.184,0.07
Gleam Machine,0,0,0.114,0.039
Properantes,3.874,2.045,0.593,0.535
Wishing Star I,0,0,0.312,0.174
Rhett Butler,0,0,0,0
Rashar,1.66,1.561,0.581,0.435
Dress Parade,0,0,0.739,0.559
Bedford,0,0,0.459,0.326
Jupiter Island,0,0,0.379,0.228
Chauve Souris,0,0,0.203,0.079
Factual I,0,0,0.394,0.217
Almoojid,0,0,0.593,0.408
Digression,0,0,0.236,0.103
Polish Navy,0.465,0.562,0.496,0.337
Sir Lark,0,0,0.481,0.345
Ra Nova,0,0,0.533,0.315
Bowling Pin,0,0,0.387,0.213
Skymaster I,0,0,0.575,0.368
Hasdrubal,0,0,0.504,0.275
Scottish Rifle,5.811,2.632,0.55,0.51
Euphemism,0,0,0.348,0.21
Polar Jinks,0,0,0.048,0.005
Thunder Gulch,1.107,0.704,0.59,0.439
Bobs Return,0,0,0.338,0.175
Lightning Dealer,0,0,0.459,0.279
Sandy Creek,0,0,0.51,0.328
Crowning Honors,0,0,0.39,0.247
Sharpman,0,0,0.173,0.051
Pirates Bounty,0,0,0.399,0.287
Brustolon,4.358,2.208,0.839,0.746
Lando,0,0,0.423,0.217
Celtic Swing,0,0,0.119,0.043
Muddy Blues,0,0,0.372,0.178
Linacre,0.646,0.544,0.441,0.304
Marquetry,2.113,1.77,0.502,0.351
Fearless Action,2.324,1.602,0.609,0.514
Quisling,0,0,0.728,0.593
Legal Circles,0,0,0.258,0.067
Canadian Winter,0,0,0.514,0.415
Kedellic,0,0,0.448,0.294
Chateau Du Diable,0,0,0.76,0.588
Dancing Spree,0,0,0.182,0.066
Kouban,0,0,0.414,0.343
Rowlandson,0,0,0.267,0.142
Sharken,0,0,0.208,0.087
Fairbairn,1.66,0.985,0.554,0.398
Midsummer Night II,2.905,1.394,0.586,0.499
Mulhollande,1.937,1.808,0.619,0.49
Grandchant,0,0,0.482,0.301
Kings Leap,0,0,0.216,0.13
Noble Cake,0,0,0.188,0.07
High Season,0,0,0.281,0.199
Caracolero,0,0,0.394,0.218
Touch Paper,1.835,1.131,0.54,0.453
Hubbly Bubbly,0,0,0.233,0.109
Video Rock,0,0,0.514,0.352
Glasgow Central I,0,0,0.045,0.008
Farabi,4.649,1.767,0.735,0.681
Harwell,0,0,0.167,0.083
Art Francais,0,0,0.5,0.25
Beau Sher,0,0,0.582,0.365
Stubbs Gazette,0,0,0.439,0.219
Fast Enough I,0,0,0.214,0.091
Mister Sic Top,0,0,0.376,0.254
Energist,0,0,0.221,0.08
Quiet Fling,1.788,0.947,0.68,0.53
Prince De Galles I,0,0,0.201,0.081
Manacle,5.811,11.617,0.65,0.545
Rupert Bear I,0,0,0.367,0.211
Malaspina,0,0,0.583,0.34
Royal Highway,0.968,1.125,0.462,0.342
Normandy,0.726,0.727,0.516,0.377
Galaxy Libra,3.874,1.41,0.859,0.757
Fill My Hopes,0,0,0.196,0.06
Hennessy,0.646,0.718,0.407,0.267
Workboy I,1.453,1.905,0.44,0.324
Man In The Moon,0,0,0.44,0.245
Egg Toss,1.937,1.729,0.66,0.483
Green God,3.228,1.681,0.711,0.597
Tumble Gold,0.387,0.483,0.433,0.291
Big Shuffle,0.43,0.437,0.455,0.303
Five Star Camp,0,0,0.083,0.014
Mon Fils,0,0,0.342,0.234
Lucky Mickmooch,0,0,0.633,0.437
Local Talent,0,0,0.244,0.101
Sunnys Halo,0,0,0.567,0.323
Balliol I,1.291,1.253,0.464,0.309
Telsmoss,1.056,0.933,0.47,0.316
Adbass,0,0,0.408,0.233
Marktingo,2.583,1.869,0.556,0.42
Avatar,0,0,0.235,0.086
Shantung,0,0,0.071,0.01
Steinlen,3.874,3.254,0.694,0.586
Tauchsport,0,0,0,0
Crested Lark,0.83,1.188,0.35,0.175
Danehill Dancer,4.282,2.02,0.803,0.69
Iris Noir,0,0,0.157,0.087
Party Mink,2.324,2.122,0.379,0.361
Lombard,1.66,0.934,0.516,0.398
Ascertain I,2.905,2.129,0.55,0.43
Bates Motel,1.66,0.813,0.422,0.309
Hard To Beat,3.874,3,0.886,0.792
Hail The Pirates,0.894,0.965,0.441,0.308
Glitterman,0,0,0.9,0.81
Victory Piper,0,0,0.318,0.113
Its Freezing,1.291,0.85,0.608,0.454
Believe It,1.937,0.834,0.723,0.608
Equalize,0,0,0.111,0.025
Gold Legend,0,0,0.679,0.47
Goldmark,0,0,0.318,0.153
Joshua I,0,0,0.625,0.421
Pentelicus,0,0,0.449,0.299
Fort Wood,0,0,0.533,0.318
Entrepreneur,0,0,0.142,0.04
Parade Marshal,0,0,0.466,0.241
Twig Moss,0,0,0.499,0.316
Khozaam,0,0,0.237,0.076
Kaytu,2.113,1.714,0.578,0.493
Reliance II,3.874,1.224,0.803,0.67
Sanhedrin,2.113,1.361,0.501,0.389
Spanish Place,1.056,0.656,0.534,0.376
River Knight,0,0,0.348,0.183
Colonel Godfrey,0,0,0,0
Valdez,0,0,0.042,0.005
Eric I,0,0,0.47,0.259
Pilgrim,6.973,2.897,0.87,0.785
Faunus,2.905,2.165,0.443,0.331
Friends Choice,0,0,0.241,0.086
Black Beauty I,2.905,0.656,0.712,0.676
Accipiter,0,0,0.383,0.266
Decies,1.291,0.931,0.545,0.463
No Lute,0,0,0.69,0.477
Porto Rafti,0,0,0.314,0.226
Claude Monet,0,0,0.222,0.148
Arctic Kanda,0,0,0,0
Teekay,0,0,0,0
Sergeant Drummer,0,0,0.125,0.016
Manado,0,0,0.553,0.411
Fire Of Life,0,0,0.324,0.162
Raise A Native,0.612,0.639,0.493,0.322
Respect,0,0,0.456,0.256
Kayf Tara,0,0,0.435,0.255
Afzal,0,0,0.296,0.114
Tudor Flame,0,0,0.198,0.074
Tunerup,0,0,0.324,0.166
Roi De Perse II,0,0,0.312,0.168
Kaapstad,0,0,0.45,0.317
Saritamer,0.968,0.915,0.414,0.247
Sissoo,0,0,0,0
Fourstars Allstar,0,0,0.527,0.309
Rubor,1.291,0.845,0.498,0.381
Raise You Ten,0,0,0.38,0.233
General David,1.66,1.995,0.38,0.229
Matching Pair,0,0,0.277,0.174
Rolling Bowl,0.83,0.493,0.549,0.472
Trebrook,0.968,0.876,0.366,0.274
Somalia,3.32,1.251,0.774,0.645
Nadjar,0.447,0.491,0.427,0.265
Desert Wine,0,0,0.346,0.161
Kaiseradler,0,0,0,0
Delamain,0,0,0,0
Bakst,0,0,0,0
Slim Jim,0,0,0,0
Meldrum,0,0,0.559,0.379
Majestic Streak,0,0,0.036,0.007
Free State,0,0,0,0
Flying Tyke,0,0,0.8,0.64
Beaufort Sea,2.905,1.367,0.517,0.409
Humdoleila,0,0,0.278,0.154
Family Doctor,0,0,0.492,0.37
Lucky Guy I,0,0,0.717,0.558
Dock Leaf,0.894,0.966,0.505,0.342
White Muzzle,0,0,0.379,0.144
Gleason II,0,0,0.329,0.22
Owen Anthony,0,0,0.341,0.248
Vice Regal,0,0,0.375,0.23
Vicomte,0,0,0.592,0.392
Pentathlon,0,0,0.398,0.26
Montevideo,1.453,1.132,0.501,0.367
St Puckle,0,0,0.875,0.766
Super Splash,1.937,1.764,0.575,0.43
Simbir,0,0,0.53,0.39
Argument,0,0,0.716,0.533
Aglojo,11.621,17,1,1
Sir Sian,2.905,0.747,0.5,0.414
Theatrical Charmer,4.226,3.602,0.67,0.553
Aspros,0,0,0.578,0.431
Mr Cockatoo,0,0,0.322,0.17
Knesset,0,0,0.148,0.06
Charmer,1.937,2.128,0.463,0.324
Blue Refrain,0,0,0.369,0.217
Royal Trip,2.905,3.816,0.329,0.278
Another River,0,0,0.566,0.324
Andrea Mantegna,0,0,0.769,0.592
Yukon Eric,0,0,0,0
Baby Bid,4.649,2.65,0.4,0.4
Beauvallon,2.324,3.042,0.645,0.462
Omen,1.937,0.968,0.591,0.446
Cisto,0,0,0,0
Le Glorieux,0,0,0.218,0.069
Sweet Monday,1.66,1.491,0.364,0.275
Dry Dock,2.051,1.72,0.631,0.459
Tapioca II,3.874,5.323,0.467,0.387
Barbarolli,0,0,0.346,0.176
Double-U-Jay,0,0,0.429,0.367
Monteverdi,0,0,0.933,0.871
Swing Easy,0.83,0.856,0.461,0.324
Architect I,0,0,0.825,0.692
Hubble Bubble,1.937,0.762,0.671,0.497
Royal Gunner,0,0,0.188,0.07
Rahotep I,0,0,0.15,0.09
Gold Crest,0,0,0.182,0.099
Quality Fair,2.324,2.759,0.451,0.369
Keren,0,0,0.626,0.451
Ribston,0,0,0.4,0.16
Certingo,0,0,0,0
Zambrano,1.162,0.847,0.684,0.592
Ovac,0.581,0.561,0.443,0.292
Hills Forecast,11.621,4.5,1,1
Velvet Prince,2.324,1.92,0.635,0.519
Peacock I,0.553,0.502,0.461,0.34
Be Friendly,0,0,0.167,0.111
Wolf Power,0,0,0.262,0.08
Guillaume Tell,2.905,4.082,0.475,0.352
Farhaan,0.375,0.411,0.396,0.236
Golden Fleece,0,0,0.077,0.024
Jarraar,2.583,2.1,0.568,0.395
Rons Victory,1.192,0.895,0.518,0.366
Prince Of Birds,3.874,6.437,0.407,0.35
Casteddu,1.788,0.913,0.598,0.468
Smartset,1.453,0.63,0.693,0.502
Magnate,11.621,9,1,1
Treboro,4.649,2.783,0.748,0.664
Gallant Knight,0,0,0.575,0.334
Acaroid,0,0,0.516,0.348
Polish Numbers,1.162,1.29,0.423,0.279
Badger Land,0,0,0.307,0.101
Urbain Minotiere,0,0,0.286,0.082
Florida Son,0,0,0.561,0.352
Anatas,0,0,0.807,0.654
Never Got A Chance,0,0,0.722,0.522
Langton Heath,0,0,0.367,0.217
French Vine,0,0,0,0
Im A Star,0,0,0,0
Abary,0,0,0.778,0.605
Spring To Mind,0,0,0.263,0.139
Pepenador,0,0,0.174,0.033
Luskin Star,0,0,0.516,0.329
Martin John,1.056,1.093,0.38,0.265
Exodal,0,0,0.36,0.204
Loup Solitaire,2.905,1.271,0.653,0.575
Doc Marten,0,0,0.497,0.318
Quiet American,2.324,1.282,0.719,0.58
Cosmonaut,0,0,0.354,0.188
Running Steps,0,0,0.34,0.155
Big Spruce,5.165,2.452,0.653,0.558
Huguenot,0,0,0.403,0.229
Travelling Victor,0,0,0.765,0.585
Unblest,0,0,0.169,0.039
Kings Island,0,0,0.297,0.123
Advocator,1.291,0.737,0.429,0.351
Paveh Star,0,0,0.523,0.294
Inzar,0,0,0.345,0.164
Dare And Go,1.937,1.284,0.673,0.503
Storm Creek,5.811,1.031,0.833,0.722
Desert Splendour,1.66,3.017,0.409,0.285
Franc Ryk,1.162,0.541,0.602,0.483
Sharp Charter,0,0,0.446,0.28
Dotsero,0,0,0.819,0.681
Paean,0,0,0.648,0.464
Premiership,0,0,0,0
